,ReqId,ticker,date,Open,High,Low,Close,Volume
0,0,GME,20241210 15:00:00 US/Eastern,27.04,27.07,26.9,26.98,100917
23,0,GME,20241210 16:55:00 US/Eastern,28.95,29.09,28.6,28.88,132760
24,0,GME,20241210 17:00:00 US/Eastern,28.8,28.99,28.33,28.68,169355
25,0,GME,20241210 17:05:00 US/Eastern,28.69,28.7,27.76,28.05,313379
26,0,GME,20241210 17:10:00 US/Eastern,28.11,28.11,27.34,27.57,327246
27,0,GME,20241210 17:15:00 US/Eastern,27.5,27.84,27.26,27.37,149554
28,0,GME,20241210 17:20:00 US/Eastern,27.36,28.0,27.1,27.84,189130
29,0,GME,20241210 17:25:00 US/Eastern,27.84,27.84,27.05,27.5,126582
31,0,GME,20241210 17:35:00 US/Eastern,27.36,27.65,27.27,27.65,74275
22,0,GME,20241210 16:50:00 US/Eastern,29.15,29.25,28.56,29.0,288647
32,0,GME,20241210 17:40:00 US/Eastern,27.64,28.2,27.55,27.75,134824
34,0,GME,20241210 17:50:00 US/Eastern,27.7,27.85,27.5,27.7,42435
35,0,GME,20241210 17:55:00 US/Eastern,27.74,27.94,27.57,27.87,33956
36,0,GME,20241210 18:00:00 US/Eastern,27.86,28.25,27.77,28.15,74936
37,0,GME,20241210 18:05:00 US/Eastern,27.91,28.09,27.71,27.85,31986
38,0,GME,20241210 18:10:00 US/Eastern,27.89,28.09,27.61,27.74,81445
39,0,GME,20241210 18:15:00 US/Eastern,27.74,27.85,27.6,27.62,27836
40,0,GME,20241210 18:20:00 US/Eastern,27.63,27.82,27.62,27.78,15939
41,0,GME,20241210 18:25:00 US/Eastern,27.7,27.8,27.69,27.8,11644
33,0,GME,20241210 17:45:00 US/Eastern,27.8,27.99,27.51,27.65,84730
21,0,GME,20241210 16:45:00 US/Eastern,29.4,29.5,28.76,29.15,393061
30,0,GME,20241210 17:30:00 US/Eastern,27.4,27.6,27.29,27.4,36843
19,0,GME,20241210 16:35:00 US/Eastern,29.68,31.0,29.5,30.07,1031978
20,0,GME,20241210 16:40:00 US/Eastern,30.13,30.25,29.14,29.47,597756
2,0,GME,20241210 15:10:00 US/Eastern,26.91,26.94,26.87,26.91,85614
3,0,GME,20241210 15:15:00 US/Eastern,26.92,27.05,26.9,27.01,101660
4,0,GME,20241210 15:20:00 US/Eastern,27.01,27.35,27.0,27.29,310673
5,0,GME,20241210 15:25:00 US/Eastern,27.27,27.31,27.17,27.2,107652
6,0,GME,20241210 15:30:00 US/Eastern,27.19,27.19,26.91,27.05,209175
7,0,GME,20241210 15:35:00 US/Eastern,27.04,27.1,26.91,26.95,164311
8,0,GME,20241210 15:40:00 US/Eastern,26.95,27.1,26.93,27.05,112449
9,0,GME,20241210 15:45:00 US/Eastern,27.04,27.11,26.97,27.1,167561
1,0,GME,20241210 15:05:00 US/Eastern,26.95,26.99,26.85,26.92,120255
11,0,GME,20241210 15:55:00 US/Eastern,26.97,27.04,26.88,26.95,526348
10,0,GME,20241210 15:50:00 US/Eastern,27.1,27.1,26.94,26.99,248629
17,0,GME,20241210 16:25:00 US/Eastern,27.6,28.49,27.56,28.42,345812
16,0,GME,20241210 16:20:00 US/Eastern,27.2,27.7,27.01,27.62,160496
15,0,GME,20241210 16:15:00 US/Eastern,27.59,27.59,26.76,27.11,253148
18,0,GME,20241210 16:30:00 US/Eastern,28.45,29.75,28.21,29.68,700899
13,0,GME,20241210 16:05:00 US/Eastern,27.35,27.45,25.67,26.4,446330
12,0,GME,20241210 16:00:00 US/Eastern,26.93,27.35,26.93,27.35,382322
14,0,GME,20241210 16:10:00 US/Eastern,26.4,27.8,26.36,27.59,414531
73,1,GME,20240910 18:35:00 US/Eastern,21.45,21.48,21.25,21.32,35462
66,1,GME,20240910 18:00:00 US/Eastern,20.48,21.0,20.45,20.98,110522
67,1,GME,20240910 18:05:00 US/Eastern,20.95,21.28,20.95,21.24,110328
68,1,GME,20240910 18:10:00 US/Eastern,21.26,21.3,21.15,21.3,50686
69,1,GME,20240910 18:15:00 US/Eastern,21.28,21.28,21.01,21.24,51219
70,1,GME,20240910 18:20:00 US/Eastern,21.22,21.25,21.11,21.18,39395
65,1,GME,20240910 17:55:00 US/Eastern,21.03,21.06,20.41,20.5,278735
71,1,GME,20240910 18:25:00 US/Eastern,21.17,21.3,21.16,21.27,32235
74,1,GME,20240910 18:40:00 US/Eastern,21.28,21.39,21.26,21.39,24108
78,1,GME,20240910 19:00:00 US/Eastern,21.3,21.3,21.16,21.16,14210
76,1,GME,20240910 18:50:00 US/Eastern,21.38,21.39,21.28,21.3,14536
77,1,GME,20240910 18:55:00 US/Eastern,21.3,21.35,21.3,21.3,14351
79,1,GME,20240910 19:05:00 US/Eastern,21.16,21.22,21.15,21.16,25125
80,1,GME,20240910 19:10:00 US/Eastern,21.17,21.17,21.1,21.12,27517
81,1,GME,20240910 19:15:00 US/Eastern,21.14,21.3,21.11,21.25,20421
82,1,GME,20240910 19:20:00 US/Eastern,21.25,21.27,21.25,21.27,8797
83,1,GME,20240910 19:25:00 US/Eastern,21.29,21.33,21.25,21.25,15089
64,1,GME,20240910 17:50:00 US/Eastern,21.3,21.3,21.01,21.02,210960
75,1,GME,20240910 18:45:00 US/Eastern,21.39,21.4,21.35,21.35,26965
63,1,GME,20240910 17:45:00 US/Eastern,21.52,21.6,21.23,21.3,110953
72,1,GME,20240910 18:30:00 US/Eastern,21.29,21.5,21.2,21.45,53996
61,1,GME,20240910 17:35:00 US/Eastern,21.72,21.75,21.5,21.55,103239
43,1,GME,20240910 16:05:00 US/Eastern,23.78,23.95,22.01,22.98,513309
44,1,GME,20240910 16:10:00 US/Eastern,22.98,24.1,22.98,23.33,367895
45,1,GME,20240910 16:15:00 US/Eastern,23.33,24.07,23.26,23.63,259752
46,1,GME,20240910 16:20:00 US/Eastern,23.62,23.65,23.25,23.44,61830
47,1,GME,20240910 16:25:00 US/Eastern,23.45,23.45,23.06,23.06,89982
48,1,GME,20240910 16:30:00 US/Eastern,23.05,23.29,22.98,23.12,116213
49,1,GME,20240910 16:35:00 US/Eastern,23.04,23.15,22.96,23.15,147466
50,1,GME,20240910 16:40:00 US/Eastern,23.15,23.35,23.05,23.25,103425
51,1,GME,20240910 16:45:00 US/Eastern,23.29,23.35,23.15,23.22,38864
42,1,GME,20240910 16:00:00 US/Eastern,23.45,23.9,23.16,23.87,184523
62,1,GME,20240910 17:40:00 US/Eastern,21.6,21.67,21.5,21.52,58485
53,1,GME,20240910 16:55:00 US/Eastern,23.27,23.4,23.13,23.15,108650
54,1,GME,20240910 17:00:00 US/Eastern,23.2,23.2,21.58,22.35,740364
55,1,GME,20240910 17:05:00 US/Eastern,22.27,22.35,21.7,21.96,209391
