,ReqId,ticker,date,Open,High,Low,Close,Volume
0,0,GOOGL,20250204 15:00:00 US/Eastern,205.18,205.46,205.06,205.42,277415
23,0,GOOGL,20250204 16:55:00 US/Eastern,191.52,191.63,191.09,191.38,58724
24,0,GOOGL,20250204 17:00:00 US/Eastern,191.39,191.45,187.69,187.98,584827
25,0,GOOGL,20250204 17:05:00 US/Eastern,187.94,189.17,187.12,188.24,416227
26,0,GOOGL,20250204 17:10:00 US/Eastern,188.24,189.23,188.12,188.9,194243
27,0,GOOGL,20250204 17:15:00 US/Eastern,189.16,190.24,189.0,190.15,228157
28,0,GOOGL,20250204 17:20:00 US/Eastern,190.13,190.74,189.75,189.85,156543
29,0,GOOGL,20250204 17:25:00 US/Eastern,189.82,190.0,189.16,189.77,77060
30,0,GOOGL,20250204 17:30:00 US/Eastern,189.7,190.0,189.55,189.85,48125
22,0,GOOGL,20250204 16:50:00 US/Eastern,190.63,191.75,190.59,191.51,126801
32,0,GOOGL,20250204 17:40:00 US/Eastern,189.85,189.85,189.51,189.8,26820
34,0,GOOGL,20250204 17:50:00 US/Eastern,189.88,190.07,189.72,189.95,62696
35,0,GOOGL,20250204 17:55:00 US/Eastern,190.0,190.65,189.92,190.65,47670
36,0,GOOGL,20250204 18:00:00 US/Eastern,190.6,190.9,190.3,190.54,44175
37,0,GOOGL,20250204 18:05:00 US/Eastern,190.5,190.9,190.25,190.3,30651
38,0,GOOGL,20250204 18:10:00 US/Eastern,190.3,190.42,189.86,190.42,36309
39,0,GOOGL,20250204 18:15:00 US/Eastern,190.39,190.82,190.34,190.48,44316
40,0,GOOGL,20250204 18:20:00 US/Eastern,190.5,190.57,190.29,190.35,28688
41,0,GOOGL,20250204 18:25:00 US/Eastern,190.34,190.35,189.81,189.83,35704
33,0,GOOGL,20250204 17:45:00 US/Eastern,189.81,190.0,189.75,189.9,62827
21,0,GOOGL,20250204 16:45:00 US/Eastern,190.26,190.8,189.73,190.66,247494
31,0,GOOGL,20250204 17:35:00 US/Eastern,189.91,189.95,189.5,189.61,29649
19,0,GOOGL,20250204 16:35:00 US/Eastern,191.67,191.97,190.5,190.99,255104
20,0,GOOGL,20250204 16:40:00 US/Eastern,190.97,191.0,189.2,190.32,328294
1,0,GOOGL,20250204 15:05:00 US/Eastern,205.43,205.83,205.0,205.8,402683
2,0,GOOGL,20250204 15:10:00 US/Eastern,205.82,206.16,205.79,206.06,310557
3,0,GOOGL,20250204 15:15:00 US/Eastern,206.06,206.22,205.97,205.97,300349
4,0,GOOGL,20250204 15:20:00 US/Eastern,205.97,205.99,205.61,205.7,245227
5,0,GOOGL,20250204 15:25:00 US/Eastern,205.7,205.98,205.02,205.37,322202
7,0,GOOGL,20250204 15:35:00 US/Eastern,205.66,206.05,205.66,206.03,321603
8,0,GOOGL,20250204 15:40:00 US/Eastern,206.02,206.12,205.87,206.07,323127
9,0,GOOGL,20250204 15:45:00 US/Eastern,206.07,206.44,206.06,206.3,460025
6,0,GOOGL,20250204 15:30:00 US/Eastern,205.36,205.71,205.2,205.64,322346
17,0,GOOGL,20250204 16:25:00 US/Eastern,192.46,192.49,191.12,191.61,180237
11,0,GOOGL,20250204 15:55:00 US/Eastern,206.85,206.9,206.13,206.13,1366621
12,0,GOOGL,20250204 16:00:00 US/Eastern,206.1,209.51,189.4,190.48,4622276
13,0,GOOGL,20250204 16:05:00 US/Eastern,190.48,193.99,190.0,193.32,1269095
14,0,GOOGL,20250204 16:10:00 US/Eastern,193.35,193.58,190.98,191.92,656507
15,0,GOOGL,20250204 16:15:00 US/Eastern,191.94,193.35,191.94,192.98,400890
16,0,GOOGL,20250204 16:20:00 US/Eastern,192.95,193.0,192.13,192.46,223856
10,0,GOOGL,20250204 15:50:00 US/Eastern,206.28,207.05,206.2,206.84,842755
18,0,GOOGL,20250204 16:30:00 US/Eastern,191.66,206.38,191.57,191.7,127564
71,1,GOOGL,20241029 18:25:00 US/Eastern,178.57,178.9,178.5,178.87,26138
70,1,GOOGL,20241029 18:20:00 US/Eastern,178.99,178.99,178.57,178.61,18757
69,1,GOOGL,20241029 18:15:00 US/Eastern,179.01,179.15,178.89,178.94,41944
65,1,GOOGL,20241029 17:55:00 US/Eastern,178.7,179.0,178.7,179.0,26839
67,1,GOOGL,20241029 18:05:00 US/Eastern,179.07,179.55,179.01,179.52,32875
66,1,GOOGL,20241029 18:00:00 US/Eastern,178.95,179.07,178.85,179.0,19714
72,1,GOOGL,20241029 18:30:00 US/Eastern,178.94,179.27,178.86,179.0,13668
68,1,GOOGL,20241029 18:10:00 US/Eastern,179.55,179.95,179.1,179.1,35107
73,1,GOOGL,20241029 18:35:00 US/Eastern,179.0,179.49,178.85,179.39,12109
83,1,GOOGL,20241029 19:25:00 US/Eastern,178.96,179.0,178.89,178.99,13331
75,1,GOOGL,20241029 18:45:00 US/Eastern,179.3,179.45,179.26,179.45,12982
76,1,GOOGL,20241029 18:50:00 US/Eastern,179.42,179.5,179.4,179.5,10881
