,ReqId,ticker,date,Open,High,Low,Close,Volume
0,0,GS,20250115 15:00:00 US/Eastern,606.41,607.27,606.28,606.92,15316
23,0,GS,20250115 16:55:00 US/Eastern,607.0,607.0,607.0,607.0,100
24,0,GS,20250115 17:00:00 US/Eastern,607.0,607.0,607.0,607.0,0
25,0,GS,20250115 17:05:00 US/Eastern,607.0,607.0,607.0,607.0,0
26,0,GS,20250115 17:10:00 US/Eastern,607.0,607.0,607.0,607.0,0
27,0,GS,20250115 17:15:00 US/Eastern,607.0,607.0,607.0,607.0,0
28,0,GS,20250115 17:20:00 US/Eastern,607.0,607.0,607.0,607.0,0
29,0,GS,20250115 17:25:00 US/Eastern,607.0,607.0,607.0,607.0,0
31,0,GS,20250115 17:35:00 US/Eastern,604.45,604.45,604.45,604.45,0
22,0,GS,20250115 16:50:00 US/Eastern,605.92,605.92,605.92,605.92,0
32,0,GS,20250115 17:40:00 US/Eastern,604.45,604.45,604.45,604.45,0
34,0,GS,20250115 17:50:00 US/Eastern,604.5,604.5,604.5,604.5,100
35,0,GS,20250115 17:55:00 US/Eastern,604.5,604.5,604.5,604.5,0
36,0,GS,20250115 18:00:00 US/Eastern,604.5,604.5,604.5,604.5,0
37,0,GS,20250115 18:05:00 US/Eastern,604.5,604.5,604.5,604.5,0
38,0,GS,20250115 18:10:00 US/Eastern,604.5,604.5,604.5,604.5,0
39,0,GS,20250115 18:15:00 US/Eastern,605.5,605.5,605.5,605.5,200
40,0,GS,20250115 18:20:00 US/Eastern,605.5,605.5,605.5,605.5,0
41,0,GS,20250115 18:25:00 US/Eastern,605.5,605.5,605.5,605.5,0
33,0,GS,20250115 17:45:00 US/Eastern,604.45,604.45,604.45,604.45,0
21,0,GS,20250115 16:45:00 US/Eastern,605.92,605.92,605.92,605.92,0
30,0,GS,20250115 17:30:00 US/Eastern,604.45,604.45,604.45,604.45,240
19,0,GS,20250115 16:35:00 US/Eastern,605.92,605.92,605.92,605.92,0
20,0,GS,20250115 16:40:00 US/Eastern,605.92,605.92,605.92,605.92,0
2,0,GS,20250115 15:10:00 US/Eastern,607.56,608.33,607.52,608.0,19977
3,0,GS,20250115 15:15:00 US/Eastern,607.82,608.26,606.91,606.96,37896
4,0,GS,20250115 15:20:00 US/Eastern,606.98,607.14,606.19,606.88,23628
5,0,GS,20250115 15:25:00 US/Eastern,606.92,607.36,606.08,606.44,17732
6,0,GS,20250115 15:30:00 US/Eastern,606.34,606.98,605.68,606.0,29135
7,0,GS,20250115 15:35:00 US/Eastern,605.98,606.94,604.73,605.07,41032
8,0,GS,20250115 15:40:00 US/Eastern,604.9,605.43,604.42,605.43,16719
9,0,GS,20250115 15:45:00 US/Eastern,605.52,606.12,605.27,605.87,26307
1,0,GS,20250115 15:05:00 US/Eastern,606.54,607.76,606.19,607.53,13937
11,0,GS,20250115 15:55:00 US/Eastern,605.99,606.89,604.72,605.91,156349
10,0,GS,20250115 15:50:00 US/Eastern,605.77,606.38,605.33,605.77,45614
17,0,GS,20250115 16:25:00 US/Eastern,605.92,605.92,605.92,605.92,0
16,0,GS,20250115 16:20:00 US/Eastern,605.92,605.92,605.92,605.92,299
15,0,GS,20250115 16:15:00 US/Eastern,603.54,603.54,603.54,603.54,0
18,0,GS,20250115 16:30:00 US/Eastern,605.92,605.92,605.92,605.92,0
13,0,GS,20250115 16:05:00 US/Eastern,606.14,606.14,603.54,603.54,200
12,0,GS,20250115 16:00:00 US/Eastern,605.92,606.14,605.92,605.92,343974
14,0,GS,20250115 16:10:00 US/Eastern,603.54,603.54,603.54,603.54,0
73,1,GS,20241015 18:35:00 US/Eastern,523.29,523.29,523.29,523.29,0
66,1,GS,20241015 18:00:00 US/Eastern,523.29,523.29,523.29,523.29,0
67,1,GS,20241015 18:05:00 US/Eastern,523.29,523.29,523.29,523.29,0
68,1,GS,20241015 18:10:00 US/Eastern,523.29,523.29,523.29,523.29,0
69,1,GS,20241015 18:15:00 US/Eastern,523.29,523.29,523.29,523.29,0
70,1,GS,20241015 18:20:00 US/Eastern,523.29,523.29,523.29,523.29,0
65,1,GS,20241015 17:55:00 US/Eastern,523.29,523.29,523.29,523.29,250
71,1,GS,20241015 18:25:00 US/Eastern,523.29,523.29,523.29,523.29,0
74,1,GS,20241015 18:40:00 US/Eastern,523.29,523.29,523.29,523.29,0
78,1,GS,20241015 19:00:00 US/Eastern,521.58,521.58,521.57,521.58,100
76,1,GS,20241015 18:50:00 US/Eastern,523.29,523.29,523.29,523.29,0
77,1,GS,20241015 18:55:00 US/Eastern,523.29,523.29,523.29,523.29,0
79,1,GS,20241015 19:05:00 US/Eastern,521.58,521.58,521.58,521.58,0
80,1,GS,20241015 19:10:00 US/Eastern,522.08,522.08,522.07,522.08,100
81,1,GS,20241015 19:15:00 US/Eastern,522.08,522.08,522.08,522.08,0
82,1,GS,20241015 19:20:00 US/Eastern,522.08,522.08,522.08,522.08,0
83,1,GS,20241015 19:25:00 US/Eastern,522.08,522.08,522.08,522.08,0
64,1,GS,20241015 17:50:00 US/Eastern,522.0,522.0,522.0,522.0,0
75,1,GS,20241015 18:45:00 US/Eastern,523.29,523.29,523.29,523.29,0
63,1,GS,20241015 17:45:00 US/Eastern,522.01,522.01,522.0,522.0,604
72,1,GS,20241015 18:30:00 US/Eastern,523.29,523.29,523.29,523.29,0
61,1,GS,20241015 17:35:00 US/Eastern,522.05,522.05,522.05,522.05,0
43,1,GS,20241015 16:05:00 US/Eastern,522.7,522.7,522.38,522.38,817
44,1,GS,20241015 16:10:00 US/Eastern,518.75,518.75,518.75,518.75,500
45,1,GS,20241015 16:15:00 US/Eastern,518.75,518.75,518.75,518.75,0
46,1,GS,20241015 16:20:00 US/Eastern,518.75,518.75,518.75,518.75,0
47,1,GS,20241015 16:25:00 US/Eastern,518.75,518.75,518.75,518.75,0
48,1,GS,20241015 16:30:00 US/Eastern,518.75,518.75,518.75,518.75,0
49,1,GS,20241015 16:35:00 US/Eastern,522.38,522.38,522.0,522.0,289
50,1,GS,20241015 16:40:00 US/Eastern,522.0,522.0,522.0,522.0,0
51,1,GS,20241015 16:45:00 US/Eastern,522.0,522.0,522.0,522.0,0
42,1,GS,20241015 16:00:00 US/Eastern,522.38,523.0,522.38,522.7,354881
62,1,GS,20241015 17:40:00 US/Eastern,522.05,522.05,522.05,522.05,0
53,1,GS,20241015 16:55:00 US/Eastern,522.38,522.38,522.38,522.38,21041
54,1,GS,20241015 17:00:00 US/Eastern,522.38,522.38,522.38,522.38,0
55,1,GS,20241015 17:05:00 US/Eastern,522.8,522.8,522.8,522.8,300
56,1,GS,20241015 17:10:00 US/Eastern,522.95,522.95,522.0,522.0,350
57,1,GS,20241015 17:15:00 US/Eastern,522.0,522.0,522.0,522.0,0
58,1,GS,20241015 17:20:00 US/Eastern,522.0,522.0,522.0,522.0,0
59,1,GS,20241015 17:25:00 US/Eastern,522.0,522.0,522.0,522.0,0
60,1,GS,20241015 17:30:00 US/Eastern,522.05,522.05,522.05,522.05,195
52,1,GS,20241015 16:50:00 US/Eastern,522.0,522.0,522.0,522.0,0
112,2,GS,20240715 18:20:00 US/Eastern,492.23,492.23,492.23,492.23,0
111,2,GS,20240715 18:15:00 US/Eastern,492.23,492.23,492.23,492.23,0
110,2,GS,20240715 18:10:00 US/Eastern,492.23,492.23,492.23,492.23,0
106,2,GS,20240715 17:50:00 US/Eastern,492.23,492.23,492.23,492.23,3190
108,2,GS,20240715 18:00:00 US/Eastern,492.23,492.23,492.23,492.23,0
107,2,GS,20240715 17:55:00 US/Eastern,492.23,492.23,492.23,492.23,0
113,2,GS,20240715 18:25:00 US/Eastern,492.23,492.23,492.23,492.23,0
109,2,GS,20240715 18:05:00 US/Eastern,492.23,492.23,492.23,492.23,0
114,2,GS,20240715 18:30:00 US/Eastern,492.23,492.23,492.23,492.23,0
125,2,GS,20240715 19:25:00 US/Eastern,493.0,493.0,493.0,493.0,200
116,2,GS,20240715 18:40:00 US/Eastern,492.23,492.23,492.23,492.23,0
117,2,GS,20240715 18:45:00 US/Eastern,492.9,492.9,492.9,492.9,404
118,2,GS,20240715 18:50:00 US/Eastern,492.9,492.9,492.9,492.9,0
120,2,GS,20240715 19:00:00 US/Eastern,492.9,492.9,492.9,492.9,0
121,2,GS,20240715 19:05:00 US/Eastern,493.0,493.0,493.0,493.0,416
122,2,GS,20240715 19:10:00 US/Eastern,493.0,493.19,493.0,493.19,515
123,2,GS,20240715 19:15:00 US/Eastern,493.2,493.2,493.2,493.2,400
124,2,GS,20240715 19:20:00 US/Eastern,492.9,492.9,492.9,492.9,1496
105,2,GS,20240715 17:45:00 US/Eastern,492.15,492.15,492.15,492.15,0
115,2,GS,20240715 18:35:00 US/Eastern,492.23,492.23,492.23,492.23,0
119,2,GS,20240715 18:55:00 US/Eastern,492.9,492.9,492.9,492.9,0
104,2,GS,20240715 17:40:00 US/Eastern,492.15,492.15,492.15,492.15,100
102,2,GS,20240715 17:30:00 US/Eastern,491.4,491.4,491.4,491.4,0
103,2,GS,20240715 17:35:00 US/Eastern,491.4,491.4,491.4,491.4,0
84,2,GS,20240715 16:00:00 US/Eastern,492.23,492.23,492.23,492.23,250592
85,2,GS,20240715 16:05:00 US/Eastern,492.23,492.23,492.15,492.15,778
86,2,GS,20240715 16:10:00 US/Eastern,492.15,492.15,492.15,492.15,0
87,2,GS,20240715 16:15:00 US/Eastern,492.15,492.15,492.15,492.15,0
89,2,GS,20240715 16:25:00 US/Eastern,491.01,491.01,491.01,491.01,0
90,2,GS,20240715 16:30:00 US/Eastern,491.01,491.01,491.01,491.01,0
91,2,GS,20240715 16:35:00 US/Eastern,492.23,492.23,491.3,491.3,6680
92,2,GS,20240715 16:40:00 US/Eastern,491.3,491.3,491.3,491.3,0
88,2,GS,20240715 16:20:00 US/Eastern,491.01,491.01,491.01,491.01,150
94,2,GS,20240715 16:50:00 US/Eastern,491.3,491.3,491.3,491.3,0
93,2,GS,20240715 16:45:00 US/Eastern,491.3,491.3,491.3,491.3,0
100,2,GS,20240715 17:20:00 US/Eastern,492.0,492.15,492.0,492.15,674
99,2,GS,20240715 17:15:00 US/Eastern,492.15,492.15,492.15,492.15,0
