,ReqId,ticker,date,Open,High,Low,Close,Volume
0,0,MSFT,20250129 15:00:00 US/Eastern,444.79,445.16,444.2,444.38,162588
23,0,MSFT,20250129 16:55:00 US/Eastern,434.51,436.0,434.5,435.79,32604
24,0,MSFT,20250129 17:00:00 US/Eastern,435.31,435.41,434.5,435.03,19565
25,0,MSFT,20250129 17:05:00 US/Eastern,435.25,435.49,434.5,434.51,15514
26,0,MSFT,20250129 17:10:00 US/Eastern,434.6,434.6,433.0,433.8,24828
27,0,MSFT,20250129 17:15:00 US/Eastern,433.76,434.98,433.5,434.41,25408
28,0,MSFT,20250129 17:20:00 US/Eastern,434.8,434.85,433.6,434.16,16292
29,0,MSFT,20250129 17:25:00 US/Eastern,434.0,434.03,433.68,433.86,13801
31,0,MSFT,20250129 17:35:00 US/Eastern,432.41,435.6,432.0,435.0,48530
22,0,MSFT,20250129 16:50:00 US/Eastern,435.98,435.98,434.05,434.5,83768
32,0,MSFT,20250129 17:40:00 US/Eastern,435.3,436.0,434.01,435.0,34723
34,0,MSFT,20250129 17:50:00 US/Eastern,433.0,433.05,432.01,432.18,15701
35,0,MSFT,20250129 17:55:00 US/Eastern,432.9,432.9,416.0,418.99,370559
36,0,MSFT,20250129 18:00:00 US/Eastern,418.99,425.0,414.11,424.21,230879
37,0,MSFT,20250129 18:05:00 US/Eastern,424.0,424.75,420.0,420.03,150773
38,0,MSFT,20250129 18:10:00 US/Eastern,420.02,422.0,420.0,420.65,45268
39,0,MSFT,20250129 18:15:00 US/Eastern,420.55,420.7,420.0,420.1,36994
40,0,MSFT,20250129 18:20:00 US/Eastern,420.01,420.27,418.53,419.23,68304
41,0,MSFT,20250129 18:25:00 US/Eastern,419.08,419.13,417.52,417.69,65756
33,0,MSFT,20250129 17:45:00 US/Eastern,434.63,435.0,432.58,432.8,7063
21,0,MSFT,20250129 16:45:00 US/Eastern,438.0,438.0,435.1,435.98,52195
30,0,MSFT,20250129 17:30:00 US/Eastern,433.76,433.86,432.3,432.4,13287
19,0,MSFT,20250129 16:35:00 US/Eastern,435.95,439.88,435.75,438.14,87314
20,0,MSFT,20250129 16:40:00 US/Eastern,438.0,439.44,437.46,438.19,62537
2,0,MSFT,20250129 15:10:00 US/Eastern,444.91,445.43,444.02,444.43,149271
