Metric,Value
total.total,49.0
total.open,0.0
total.closed,49.0
streak.won.current,0.0
streak.won.longest,4.0
streak.lost.current,2.0
streak.lost.longest,9.0
pnl.gross.total,149.35000000000014
pnl.gross.average,3.047959183673472
pnl.net.total,52.14661000000012
pnl.net.average,1.0642165306122475
won.total,21.0
won.pnl.total,662.1679800000002
won.pnl.average,31.53180857142858
won.pnl.max,113.48928000000008
lost.total,28.0
lost.pnl.total,-610.02137
lost.pnl.average,-21.7864775
lost.pnl.max,-67.18672000000007
long.total,22.0
long.pnl.total,-9.762360000000147
long.pnl.average,-0.44374363636364306
long.pnl.won.total,280.60838
long.pnl.won.average,46.76806333333334
long.pnl.won.max,113.48928000000008
long.pnl.lost.total,-290.3707400000002
long.pnl.lost.average,-18.14817125000001
long.pnl.lost.max,-67.18672000000007
long.won,6.0
long.lost,16.0
short.total,27.0
short.pnl.total,61.90897000000027
short.pnl.average,2.2929248148148247
short.pnl.won.total,381.55960000000005
short.pnl.won.average,25.437306666666668
short.pnl.won.max,89.88239999999998
short.pnl.lost.total,-319.6506299999998
short.pnl.lost.average,-26.637552499999984
short.pnl.lost.max,-51.801959999999966
short.won,15.0
short.lost,12.0
len.total,367.0
len.average,7.489795918367347
len.max,24.0
len.min,1.0
len.won.total,77.0
len.won.average,3.6666666666666665
len.won.max,24.0
len.won.min,1.0
len.lost.total,290.0
len.lost.average,10.357142857142858
len.lost.max,24.0
len.lost.min,1.0
len.long.total,229.0
len.long.average,10.409090909090908
len.long.max,24.0
len.long.min,1.0
len.long.won.total,17.0
len.long.won.average,2.8333333333333335
len.long.won.max,9.0
len.long.won.min,1.0
len.long.lost.total,212.0
len.long.lost.average,13.25
len.long.lost.max,24.0
len.long.lost.min,1.0
len.short.total,138.0
len.short.average,5.111111111111111
len.short.max,24.0
len.short.min,1.0
len.short.won.total,60.0
len.short.won.average,4.0
len.short.won.max,24.0
len.short.won.min,1.0
len.short.lost.total,78.0
len.short.lost.average,6.5
len.short.lost.max,24.0
len.short.lost.min,1.0
