Metric,Value
total.total,19.0
total.open,0.0
total.closed,19.0
streak.won.current,1.0
streak.won.longest,2.0
streak.lost.current,0.0
streak.lost.longest,6.0
pnl.gross.total,-41.18000000000009
pnl.gross.average,-2.1673684210526365
pnl.net.total,-76.97982000000009
pnl.net.average,-4.051569473684215
won.total,7.0
won.pnl.total,119.02522000000005
won.pnl.average,17.003602857142862
won.pnl.max,34.46974999999998
lost.total,12.0
lost.pnl.total,-196.00504000000012
lost.pnl.average,-16.333753333333345
lost.pnl.max,-24.04019999999993
long.total,16.0
long.pnl.total,-59.014580000000066
long.pnl.average,-3.688411250000004
long.pnl.won.total,102.08612000000004
long.pnl.won.average,17.01435333333334
long.pnl.won.max,34.46974999999998
long.pnl.lost.total,-161.1007000000001
long.pnl.lost.average,-16.11007000000001
long.pnl.lost.max,-24.04019999999993
long.won,6.0
long.lost,10.0
short.total,3.0
short.pnl.total,-17.96524000000004
short.pnl.average,-5.988413333333347
short.pnl.won.total,16.939100000000007
short.pnl.won.average,16.939100000000007
short.pnl.won.max,16.939100000000007
short.pnl.lost.total,-34.90434000000005
short.pnl.lost.average,-17.452170000000024
short.pnl.lost.max,-18.15669000000002
short.won,1.0
short.lost,2.0
len.total,181.0
len.average,9.526315789473685
len.max,24.0
len.min,1.0
len.won.total,74.0
len.won.average,10.571428571428571
len.won.max,24.0
len.won.min,1.0
len.lost.total,107.0
len.lost.average,8.916666666666666
len.lost.max,24.0
len.lost.min,1.0
len.long.total,140.0
len.long.average,8.75
len.long.max,24.0
len.long.min,1.0
len.long.won.total,58.0
len.long.won.average,9.666666666666666
len.long.won.max,24.0
len.long.won.min,1.0
len.long.lost.total,82.0
len.long.lost.average,8.2
len.long.lost.max,24.0
len.long.lost.min,1.0
len.short.total,41.0
len.short.average,13.666666666666666
len.short.max,20.0
len.short.min,5.0
len.short.won.total,16.0
len.short.won.average,16.0
len.short.won.max,16.0
len.short.won.min,16.0
len.short.lost.total,25.0
len.short.lost.average,12.5
len.short.lost.max,20.0
len.short.lost.min,5.0
