,datetime,price,signal,closed
0,2017-10-26 16:05:00,50.66,BUY,OPENED
1,2017-10-26 16:15:00,51.8,BUY,TOOK PROFIT
2,2018-07-23 16:05:00,63.61,BUY,OPENED
3,2018-07-23 17:00:00,62.65,BUY,STOPPED OUT
4,2018-10-25 16:05:00,52.85,BUY,OPENED
5,2018-10-25 18:05:00,52.89,BUY,EXITED
6,2019-02-04 16:05:00,55.4,BUY,OPENED
7,2019-02-04 18:05:00,55.18,BUY,EXITED
8,2019-04-29 16:05:00,61.8,BUY,OPENED
9,2019-04-29 16:40:00,60.81,BUY,STOPPED OUT
10,2019-07-25 16:05:00,60.45,BUY,OPENED
11,2019-07-25 16:35:00,61.55,BUY,TOOK PROFIT
12,2019-10-28 16:05:00,62.75,SELL,OPENED
13,2019-10-28 16:30:00,63.85,SELL,STOPPED OUT
14,2020-02-03 16:05:00,72.52,BUY,OPENED
15,2020-02-03 16:15:00,71.25,BUY,STOPPED OUT
16,2020-07-30 16:05:00,77.75,BUY,OPENED
17,2020-07-30 16:30:00,75.7,BUY,STOPPED OUT
18,2020-10-29 16:05:00,84.65,BUY,OPENED
19,2020-10-29 16:10:00,82.5,BUY,STOPPED OUT
20,2021-02-02 16:05:00,103.48,BUY,OPENED
21,2021-02-02 16:15:00,101.6,BUY,STOPPED OUT
22,2021-04-27 16:05:00,119.65,BUY,OPENED
23,2021-04-27 18:05:00,119.58,BUY,EXITED
24,2021-07-27 16:05:00,130.98,BUY,OPENED
25,2021-07-27 16:10:00,135.37,BUY,TOOK PROFIT
26,2021-10-26 16:05:00,140.0,BUY,OPENED
27,2021-10-26 16:25:00,137.51,BUY,STOPPED OUT
28,2022-02-01 16:05:00,146.26,BUY,OPENED
29,2022-02-01 17:15:00,148.85,BUY,TOOK PROFIT
30,2022-10-25 16:05:00,98.99,SELL,OPENED
31,2022-10-25 17:25:00,97.15,SELL,TOOK PROFIT
32,2023-02-02 16:05:00,102.65,SELL,OPENED
33,2023-02-02 17:45:00,104.6,SELL,STOPPED OUT
34,2024-04-25 16:05:00,178.0,BUY,OPENED
35,2024-04-25 16:15:00,175.19,BUY,STOPPED OUT
36,2024-10-29 16:05:00,175.0,BUY,OPENED
37,2024-10-29 17:00:00,179.2,BUY,TOOK PROFIT
