Metric,Value
total.total,47.0
total.open,0.0
total.closed,47.0
streak.won.current,0.0
streak.won.longest,1.0
streak.lost.current,1.0
streak.lost.longest,26.0
pnl.gross.total,-12.629999999999896
pnl.gross.average,-0.26872340425531693
pnl.net.total,-93.96520999999987
pnl.net.average,-1.9992597872340399
won.total,4.0
won.pnl.total,4.883979999999843
won.pnl.average,1.2209949999999608
won.pnl.max,3.4979599999999635
lost.total,43.0
lost.pnl.total,-98.84918999999972
lost.pnl.average,-2.2988183720930166
lost.pnl.max,-10.56806999999999
long.total,41.0
long.pnl.total,-83.25690999999983
long.pnl.average,-2.0306563414634105
long.pnl.won.total,4.624559999999839
long.pnl.won.average,1.5415199999999463
long.pnl.won.max,3.4979599999999635
long.pnl.lost.total,-87.88146999999967
long.pnl.lost.average,-2.312670263157886
long.pnl.lost.max,-10.56806999999999
long.won,3.0
long.lost,38.0
short.total,6.0
short.pnl.total,-10.708300000000062
short.pnl.average,-1.784716666666677
short.pnl.won.total,0.2594200000000044
short.pnl.won.average,0.2594200000000044
short.pnl.won.max,0.2594200000000044
short.pnl.lost.total,-10.967720000000066
short.pnl.lost.average,-2.193544000000013
short.pnl.lost.max,-4.430650000000005
short.won,1.0
short.lost,5.0
len.total,1128.0
len.average,24.0
len.max,24.0
len.min,24.0
len.won.total,96.0
len.won.average,24.0
len.won.max,24.0
len.won.min,24.0
len.lost.total,1032.0
len.lost.average,24.0
len.lost.max,24.0
len.lost.min,24.0
len.long.total,984.0
len.long.average,24.0
len.long.max,24.0
len.long.min,24.0
len.long.won.total,72.0
len.long.won.average,24.0
len.long.won.max,24.0
len.long.won.min,24.0
len.long.lost.total,912.0
len.long.lost.average,24.0
len.long.lost.max,24.0
len.long.lost.min,24.0
len.short.total,144.0
len.short.average,24.0
len.short.max,24.0
len.short.min,24.0
len.short.won.total,24.0
len.short.won.average,24.0
len.short.won.max,24.0
len.short.won.min,24.0
len.short.lost.total,120.0
len.short.lost.average,24.0
len.short.lost.max,24.0
len.short.lost.min,24.0
