,datetime,price,signal,closed
0,2010-04-20 16:05:00,159.95,BUY,OPENED
1,2010-04-20 18:05:00,159.98,BUY,EXITED
2,2010-07-20 16:05:00,148.77,SELL,OPENED
3,2010-07-20 18:05:00,148.75,SELL,EXITED
4,2010-10-19 16:05:00,156.51,BUY,OPENED
5,2010-10-19 18:05:00,157.27,BUY,EXITED
6,2011-01-19 16:05:00,166.49,BUY,OPENED
7,2011-01-19 18:05:00,165.9,BUY,EXITED
8,2011-04-19 16:05:00,151.86,BUY,OPENED
9,2011-04-19 18:05:00,152.05,BUY,EXITED
10,2011-07-19 16:05:00,128.6,SELL,OPENED
11,2011-07-19 18:05:00,128.65,SELL,EXITED
12,2011-10-18 16:05:00,102.55,BUY,OPENED
13,2011-10-18 18:05:00,102.25,BUY,EXITED
14,2012-01-18 16:05:00,104.2,BUY,OPENED
15,2012-01-18 18:05:00,104.37,BUY,EXITED
16,2012-07-17 16:05:00,97.97,BUY,OPENED
17,2012-07-17 18:05:00,98.07,BUY,EXITED
18,2012-10-16 16:05:00,123.14,BUY,OPENED
19,2012-10-16 18:05:00,123.14,BUY,EXITED
20,2013-01-16 16:05:00,140.9,BUY,OPENED
21,2013-01-16 18:05:00,140.74,BUY,EXITED
22,2013-04-16 16:05:00,143.94,BUY,OPENED
23,2013-04-16 18:05:00,143.72,BUY,EXITED
24,2013-07-16 16:05:00,160.3,BUY,OPENED
25,2013-07-16 18:05:00,160.2,BUY,EXITED
26,2013-10-17 16:05:00,158.32,BUY,OPENED
27,2013-10-17 18:05:00,158.51,BUY,EXITED
28,2014-04-17 16:05:00,157.44,BUY,OPENED
29,2014-04-17 18:05:00,157.39,BUY,EXITED
30,2014-07-15 16:05:00,168.83,BUY,OPENED
31,2014-07-15 18:05:00,169.17,BUY,EXITED
32,2014-10-16 16:05:00,171.65,BUY,OPENED
33,2014-10-16 18:05:00,172.55,BUY,EXITED
34,2015-04-16 16:05:00,200.35,BUY,OPENED
35,2015-04-16 18:05:00,200.04,BUY,EXITED
36,2015-07-16 16:05:00,211.18,BUY,OPENED
37,2015-07-16 18:05:00,210.25,BUY,EXITED
38,2016-01-20 16:05:00,154.1,BUY,OPENED
39,2016-01-20 18:05:00,154.0,BUY,EXITED
40,2016-07-19 16:05:00,161.41,BUY,OPENED
41,2016-07-19 18:05:00,161.15,BUY,EXITED
42,2016-10-18 16:05:00,172.63,BUY,OPENED
43,2016-10-18 18:05:00,172.3,BUY,EXITED
44,2017-07-18 16:05:00,223.3,BUY,OPENED
45,2017-07-18 18:05:00,223.68,BUY,EXITED
46,2017-10-17 16:05:00,236.09,BUY,OPENED
47,2017-10-17 18:05:00,236.15,BUY,EXITED
48,2018-01-17 16:05:00,253.7,BUY,OPENED
49,2018-01-17 18:05:00,253.75,BUY,EXITED
50,2018-04-17 16:05:00,253.66,BUY,OPENED
51,2018-04-17 18:05:00,253.1,BUY,EXITED
52,2018-07-17 16:05:00,231.0,BUY,OPENED
53,2018-07-17 18:05:00,231.0,BUY,EXITED
54,2018-10-16 16:05:00,221.85,BUY,OPENED
55,2018-10-16 18:05:00,221.7,BUY,EXITED
56,2019-01-16 16:05:00,197.0,BUY,OPENED
57,2019-01-16 18:05:00,196.02,BUY,EXITED
58,2019-04-15 16:05:00,199.84,BUY,OPENED
59,2019-04-15 18:05:00,199.81,BUY,EXITED
60,2019-07-16 16:05:00,215.52,BUY,OPENED
61,2019-07-16 18:05:00,215.52,BUY,EXITED
62,2020-01-15 16:05:00,245.21,SELL,OPENED
63,2020-01-15 18:05:00,245.21,SELL,EXITED
64,2020-04-15 16:05:00,178.52,SELL,OPENED
65,2020-04-15 18:05:00,178.01,SELL,EXITED
66,2020-07-15 16:05:00,216.6,BUY,OPENED
67,2020-07-15 18:05:00,216.86,BUY,EXITED
68,2020-10-14 16:05:00,211.1,BUY,OPENED
69,2020-10-14 18:05:00,211.35,BUY,EXITED
70,2021-01-19 16:05:00,294.18,BUY,OPENED
71,2021-01-19 18:05:00,294.6,BUY,EXITED
72,2021-04-14 16:05:00,335.35,BUY,OPENED
73,2021-04-14 18:05:00,335.74,BUY,EXITED
74,2021-07-13 16:05:00,376.13,BUY,OPENED
75,2021-07-13 18:05:00,375.88,BUY,EXITED
76,2021-10-15 16:05:00,406.07,BUY,OPENED
77,2021-10-15 18:05:00,405.7,BUY,EXITED
78,2022-04-14 16:05:00,322.46,BUY,OPENED
79,2022-04-14 18:05:00,322.0,BUY,EXITED
80,2022-07-18 16:05:00,301.08,BUY,OPENED
81,2022-07-18 18:05:00,301.47,BUY,EXITED
82,2023-01-17 16:05:00,349.92,SELL,OPENED
83,2023-01-17 18:05:00,349.14,SELL,EXITED
84,2023-04-18 16:05:00,333.5,BUY,OPENED
85,2023-04-18 18:05:00,333.22,BUY,EXITED
86,2024-01-16 16:05:00,380.45,BUY,OPENED
87,2024-01-16 18:05:00,380.45,BUY,EXITED
88,2024-04-15 16:05:00,400.88,BUY,OPENED
89,2024-04-15 18:05:00,400.87,BUY,EXITED
90,2024-10-15 16:05:00,522.38,BUY,OPENED
91,2024-10-15 18:05:00,523.29,BUY,EXITED
92,2025-01-15 16:05:00,603.54,BUY,OPENED
93,2025-01-15 18:05:00,604.5,BUY,EXITED
