Metric,Value
total.total,20.0
total.open,0.0
total.closed,20.0
streak.won.current,0.0
streak.won.longest,8.0
streak.lost.current,3.0
streak.lost.longest,3.0
pnl.gross.total,26.09999999999998
pnl.gross.average,1.304999999999999
pnl.net.total,-11.92502000000001
pnl.net.average,-0.5962510000000005
won.total,11.0
won.pnl.total,134.5300499999999
won.pnl.average,12.230004545454536
won.pnl.max,19.08594000000003
lost.total,9.0
lost.pnl.total,-146.4550699999999
lost.pnl.average,-16.272785555555544
lost.pnl.max,-25.728480000000005
long.total,18.0
long.pnl.total,-8.816709999999873
long.pnl.average,-0.48981722222221513
long.pnl.won.total,119.38364
long.pnl.won.average,11.938364
long.pnl.won.max,19.08594000000003
long.pnl.lost.total,-128.20034999999984
long.pnl.lost.average,-16.02504374999998
long.pnl.lost.max,-25.728480000000005
long.won,10.0
long.lost,8.0
short.total,2.0
short.pnl.total,-3.1083100000001522
short.pnl.average,-1.5541550000000761
short.pnl.won.total,15.146409999999893
short.pnl.won.average,15.146409999999893
short.pnl.won.max,15.146409999999893
short.pnl.lost.total,-18.254720000000045
short.pnl.lost.average,-18.254720000000045
short.pnl.lost.max,-18.254720000000045
short.won,1.0
short.lost,1.0
len.total,224.0
len.average,11.2
len.max,24.0
len.min,1.0
len.won.total,101.0
len.won.average,9.181818181818182
len.won.max,24.0
len.won.min,1.0
len.lost.total,123.0
len.lost.average,13.666666666666666
len.lost.max,24.0
len.lost.min,3.0
len.long.total,214.0
len.long.average,11.88888888888889
len.long.max,24.0
len.long.min,1.0
len.long.won.total,99.0
len.long.won.average,9.9
len.long.won.max,24.0
len.long.won.min,1.0
len.long.lost.total,115.0
len.long.lost.average,14.375
len.long.lost.max,24.0
len.long.lost.min,3.0
len.short.total,10.0
len.short.average,5.0
len.short.max,8.0
len.short.min,2.0
len.short.won.total,2.0
len.short.won.average,2.0
len.short.won.max,2.0
len.short.won.min,2.0
len.short.lost.total,8.0
len.short.lost.average,8.0
len.short.lost.max,8.0
len.short.lost.min,8.0
