,datetime,price,signal,closed
0,2010-10-28 16:05:00,27.0,BUY,OPENED
1,2010-10-28 16:30:00,26.23,BUY,STOPPED OUT
2,2011-01-27 16:05:00,28.8,BUY,OPENED
3,2011-01-27 18:05:00,28.68,BUY,EXITED
4,2011-07-21 16:05:00,27.69,BUY,OPENED
5,2011-07-21 16:20:00,27.01,BUY,STOPPED OUT
6,2012-07-19 16:05:00,31.29,BUY,OPENED
7,2012-07-19 18:05:00,31.38,BUY,EXITED
8,2013-07-18 16:05:00,34.12,SELL,OPENED
9,2013-07-18 16:15:00,33.57,SELL,TOOK PROFIT
10,2013-10-24 16:05:00,35.97,BUY,OPENED
11,2013-10-24 18:05:00,35.36,BUY,STOPPED OUT
12,2014-01-23 16:05:00,37.78,BUY,OPENED
13,2014-01-23 16:20:00,36.89,BUY,STOPPED OUT
14,2014-04-24 16:05:00,40.59,BUY,OPENED
15,2014-04-24 16:45:00,39.87,BUY,STOPPED OUT
16,2014-07-22 16:05:00,44.49,SELL,OPENED
17,2014-07-22 16:45:00,45.23,SELL,STOPPED OUT
18,2015-10-22 16:05:00,49.99,BUY,OPENED
19,2015-10-22 16:15:00,50.96,BUY,TOOK PROFIT
20,2016-01-28 16:05:00,54.25,BUY,OPENED
21,2016-01-28 16:10:00,55.4,BUY,TOOK PROFIT
22,2016-07-19 16:05:00,55.03,BUY,OPENED
23,2016-07-19 18:05:00,55.29,BUY,EXITED
24,2016-10-20 16:05:00,59.63,BUY,OPENED
25,2016-10-20 17:05:00,60.62,BUY,TOOK PROFIT
26,2017-07-20 16:05:00,75.57,BUY,OPENED
27,2017-07-20 17:20:00,76.95,BUY,TOOK PROFIT
28,2017-10-26 16:05:00,78.77,BUY,OPENED
29,2017-10-26 16:15:00,80.0,BUY,TOOK PROFIT
30,2018-10-24 16:05:00,103.99,BUY,OPENED
31,2018-10-24 16:10:00,106.5,BUY,TOOK PROFIT
32,2020-01-29 16:05:00,170.47,BUY,OPENED
33,2020-01-29 16:55:00,173.11,BUY,TOOK PROFIT
34,2020-10-27 16:05:00,212.46,BUY,OPENED
35,2020-10-27 18:05:00,211.12,BUY,EXITED
36,2021-01-26 16:05:00,244.8,BUY,OPENED
37,2021-01-26 16:45:00,241.08,BUY,STOPPED OUT
38,2023-10-24 16:05:00,347.49,BUY,OPENED
39,2023-10-24 18:05:00,340.0,BUY,STOPPED OUT
