Metric,Value
total.total,40.0
total.open,0.0
total.closed,40.0
streak.won.current,0.0
streak.won.longest,2.0
streak.lost.current,1.0
streak.lost.longest,6.0
pnl.gross.total,162.6200000000003
pnl.gross.average,4.065500000000007
pnl.net.total,82.7479000000003
pnl.net.average,2.0686975000000074
won.total,18.0
won.pnl.total,788.7258500000005
won.pnl.average,43.8181027777778
won.pnl.max,103.73495999999996
lost.total,22.0
lost.pnl.total,-705.97795
lost.pnl.average,-32.08990681818182
lost.pnl.max,-159.43998000000013
long.total,28.0
long.pnl.total,266.50445000000025
long.pnl.average,9.51801607142858
long.pnl.won.total,686.5892300000003
long.pnl.won.average,49.042087857142874
long.pnl.won.max,103.73495999999996
long.pnl.lost.total,-420.08478
long.pnl.lost.average,-30.006055714285715
long.pnl.lost.max,-159.43998000000013
long.won,14.0
long.lost,14.0
short.total,12.0
short.pnl.total,-183.7565499999999
short.pnl.average,-15.313045833333325
short.pnl.won.total,102.13662000000006
short.pnl.won.average,25.534155000000016
short.pnl.won.max,46.82879999999991
short.pnl.lost.total,-285.89316999999994
short.pnl.lost.average,-35.73664624999999
short.pnl.lost.max,-61.62904999999999
short.won,4.0
short.lost,8.0
len.total,250.0
len.average,6.25
len.max,24.0
len.min,1.0
len.won.total,70.0
len.won.average,3.888888888888889
len.won.max,12.0
len.won.min,2.0
len.lost.total,180.0
len.lost.average,8.181818181818182
len.lost.max,24.0
len.lost.min,1.0
len.long.total,210.0
len.long.average,7.5
len.long.max,24.0
len.long.min,1.0
len.long.won.total,48.0
len.long.won.average,3.4285714285714284
len.long.won.max,9.0
len.long.won.min,2.0
len.long.lost.total,162.0
len.long.lost.average,11.571428571428571
len.long.lost.max,24.0
len.long.lost.min,1.0
len.short.total,40.0
len.short.average,3.3333333333333335
len.short.max,12.0
len.short.min,1.0
len.short.won.total,22.0
len.short.won.average,5.5
len.short.won.max,12.0
len.short.won.min,2.0
len.short.lost.total,18.0
len.short.lost.average,2.25
len.short.lost.max,3.0
len.short.lost.min,1.0
