totalAssets,totalCurrentAssets,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,currentNetReceivables,totalNonCurrentAssets,propertyPlantEquipment,intangibleAssets,goodwill,investments,longTermInvestments,shortTermInvestments,otherCurrentAssets,totalLiabilities,totalCurrentLiabilities,currentAccountsPayable,deferredRevenue,shortTermDebt,totalNonCurrentLiabilities,longTermDebt,longTermDebtNoncurrent,shortLongTermDebtTotal,otherCurrentLiabilities,otherNonCurrentLiabilities,totalShareholderEquity,retainedEarnings,commonStock,commonStockSharesOutstanding,date,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome,operatingCashflow,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,profitLoss,cashflowFromInvestment,cashflowFromFinancing,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,proceedsFromRepurchaseOfEquity,EPS Estimate,Reported EPS,Surprise(%)
144281000000,88103000000,18068000000,72767000000,10036000000,56178000000,28338000000,19698000000,15675000000,58877000000,4813000000,54699000000,2688000000,28040000000,18457000000,1549000000,838000000,2000000000,9583000000,1994000000,1994000000,-6000000,12966000000,1884000000,116241000000,85969000000,31864000000,686902000,2015-09-30,11638000000,18675000000,7037000000,7037000000,4708000000,3700000000,3230000000,6930000000,26000000,-100000000,49000000,1248000000,4891000000,912000000,26000000,3979000000,3316000000,4917000000,5956000000,3979000000,6145000000,1246000000,1758000000,1248000000,2383000000,1758000000,3979000000,-5817000000,-609000000,0,1780000000,-1780000000,0.36,0.37,2.01
147461000000,90114000000,16549000000,73066000000,13459000000,57347000000,29016000000,19716000000,15869000000,65462000000,9383000000,56517000000,3139000000,27130000000,19310000000,1931000000,939000000,2000000000,7820000000,3225000000,1995000000,5225000000,13366000000,1822000000,120331000000,89223000000,32982000000,687348000,2015-12-31,13141000000,21329000000,8188000000,8188000000,5380000000,4251000000,3510000000,7761000000,26000000,-161000000,35000000,1404000000,5200000000,277000000,26000000,4923000000,4641000000,5226000000,7093000000,4923000000,6609000000,1246000000,1758000000,1404000000,2100000000,1758000000,4696000000,-5487000000,-2559000000,1780000000,1780000000,-1780000000,0.41,0.43,6.98
149747000000,90955000000,15111000000,75264000000,12622000000,58792000000,30162000000,19523000000,15866000000,69819000000,9977000000,60153000000,2719000000,26178000000,17684000000,1667000000,1064000000,1998000000,8494000000,1987000000,1987000000,-13000000,11863000000,1965000000,123569000000,91168000000,33695000000,686792000,2016-03-31,12609000000,20257000000,7648000000,7648000000,5342000000,3900000000,3367000000,7267000000,30000000,-186000000,13000000,1371000000,5129000000,922000000,30000000,4102000000,4787000000,5159000000,6996000000,4207000000,7658000000,-1315000000,-818000000,1371000000,2428000000,-818000000,4102000000,-6245000000,-2911000000,2098000000,2098000000,-2098000000,0.4,0.38,-5.87
154292000000,94238000000,13627000000,78460000000,12262000000,60054000000,31413000000,19293000000,15841000000,75341000000,10520000000,64833000000,3016000000,26413000000,17341000000,1716000000,1051000000,1999000000,9072000000,1984000000,1984000000,-16000000,12506000000,2151000000,127879000000,94737000000,34293000000,686778000,2016-06-30,13370000000,21500000000,8130000000,8130000000,5968000000,4039000000,3363000000,7402000000,32000000,-128000000,18000000,1490000000,6119000000,1242000000,32000000,4834000000,5020000000,6151000000,7783000000,4877000000,9120000000,626000000,835000000,1490000000,2123000000,835000000,4834000000,-7173000000,-3440000000,1595000000,1595000000,-1595000000,0.4,0.42,4.72
159948000000,98546000000,9406000000,83056000000,12395000000,61402000000,32753000000,19395000000,16028000000,83583000000,10205000000,73650000000,2536000000,25845000000,14323000000,2175000000,1092000000,171000000,11522000000,3938000000,3938000000,-62000000,11054000000,2561000000,134103000000,99798000000,35337000000,689136000,2016-09-30,13752000000,22451000000,8699000000,8699000000,5767000000,4389000000,3596000000,7985000000,29000000,-123000000,22000000,1596000000,6045000000,984000000,29000000,5000000000,5180000000,6074000000,7703000000,5061000000,9845000000,1307000000,282000000,1596000000,2554000000,282000000,5000000000,-13045000000,-1089000000,0,0,0,0.43,0.45,5.02
167497000000,105408000000,12918000000,86333000000,14232000000,62089000000,34234000000,19775000000,16468000000,84085000000,10578000000,73415000000,4575000000,28461000000,16756000000,2041000000,1301000000,0,11705000000,4000000000,3935000000,4000000000,13062000000,2665000000,139036000000,105131000000,36307000000,691293000,2016-12-31,15403000000,26064000000,10661000000,10661000000,6639000000,5142000000,3622000000,8764000000,33000000,-38000000,35000000,1687000000,6857000000,1524000000,33000000,5542000000,3963000000,6890000000,8686000000,5333000000,9413000000,1230000000,2279000000,1687000000,3078000000,2279000000,5340000000,-4702000000,-892000000,0,0,298000000,0.48,0.47,-2.95
172756000000,108794000000,18132000000,92439000000,12969000000,63962000000,35936000000,19684000000,16547000000,84840000000,10931000000,74307000000,3106000000,27807000000,15256000000,2306000000,1471000000,803000000,12551000000,3937000000,3937000000,-63000000,10999000000,2763000000,144949000000,109420000000,37698000000,692108000,2017-03-31,14955000000,24750000000,9795000000,9795000000,6568000000,4445000000,3942000000,8387000000,25000000,-2000000,34000000,1503000000,6819000000,1393000000,25000000,5377000000,5659000000,6844000000,8417000000,5426000000,9548000000,-1654000000,-1267000000,1503000000,2508000000,-1267000000,5377000000,-2851000000,-1674000000,1127000000,1127000000,-1127000000,0.37,0.39,4.59
178621000000,112386000000,15711000000,94713000000,14877000000,66235000000,37676000000,19537000000,16604000000,90410000000,11942000000,79002000000,2398000000,30335000000,18685000000,2488000000,1571000000,12216000000,11281000000,3955000000,3939000000,-61000000,2755000000,2853000000,148286000000,111505000000,38509000000,692876000,2017-06-30,15637000000,26010000000,10373000000,10373000000,4132000000,4597000000,4172000000,8769000000,21000000,-46000000,34000000,1625000000,4377000000,853000000,21000000,3511000000,3965000000,4398000000,8821000000,3524000000,7403000000,3655000000,836000000,1625000000,2831000000,836000000,3511000000,-7172000000,-2740000000,1618000000,1618000000,-1618000000,0.22,0.25,11.67
189536000000,119345000000,10581000000,100143000000,15577000000,70191000000,40120000000,19614000000,16731000000,101706000000,12569000000,89562000000,2860000000,32436000000,20693000000,2674000000,1615000000,13906000000,11592000000,3964000000,3941000000,-59000000,2844000000,2924000000,157100000000,118237000000,39609000000,694790000,2017-09-30,16624000000,27772000000,11148000000,11148000000,7782000000,4637000000,4205000000,8842000000,27000000,-53000000,47000000,1761000000,7979000000,1247000000,27000000,6701000000,7714000000,8006000000,9896000000,6732000000,9872000000,1406000000,3236000000,1761000000,3538000000,1150000000,6701000000,-14404000000,-706000000,0,0,0,0.42,0.48,14.91
197295000000,124308000000,10715000000,101871000000,18705000000,72987000000,42383000000,19439000000,16747000000,104357000000,13713000000,91156000000,2983000000,44793000000,24183000000,3137000000,1772000000,0,20180000000,4026000000,3943000000,4026000000,2874000000,3059000000,152502000000,113247000000,40247000000,694783000,2017-12-31,18056000000,32323000000,14267000000,14267000000,7696000000,6086000000,4306000000,10392000000,36000000,-20000000,43000000,2026000000,8018000000,11038000000,36000000,-3083000000,-3266000000,8054000000,10134000000,-3020000000,10268000000,2605000000,3127000000,2026000000,4307000000,3049000000,-3083000000,-6974000000,-3178000000,2101000000,2101000000,-2101000000,0.5,0.49,-2.8
