totalAssets,totalCurrentAssets,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,inventory,currentNetReceivables,totalNonCurrentAssets,propertyPlantEquipment,accumulatedDepreciationAmortizationPPE,intangibleAssets,intangibleAssetsExcludingGoodwill,goodwill,investments,longTermInvestments,shortTermInvestments,otherCurrentAssets,otherNonCurrentAssets,totalLiabilities,totalCurrentLiabilities,currentAccountsPayable,currentDebt,shortTermDebt,totalNonCurrentLiabilities,longTermDebt,longTermDebtNoncurrent,shortLongTermDebtTotal,otherCurrentLiabilities,otherNonCurrentLiabilities,totalShareholderEquity,retainedEarnings,commonStock,commonStockSharesOutstanding,date,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,interestExpense,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,ebit,ebitda,netIncome,operatingCashflow,paymentsForOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,dividendPayout,dividendPayoutCommonStock,proceedsFromIssuanceOfCommonStock,proceedsFromRepurchaseOfEquity,changeInCashAndCashEquivalents,EPS Estimate,Reported EPS,Surprise(%)
81612000000,52231000000,8823000000,36728000000,1150000000,8587000000,29381000000,7512000000,7853000000,14235000000,1653000000,12582000000,45068000000,6006000000,27905000000,3325000000,1628000000,40400000000,28761000000,3287000000,2250000000,2250000000,11639000000,3746000000,3746000000,5996000000,3052000000,6537000000,41212000000,-21081000000,62293000000,8900000000,2009-09-30,10078000000,12920000000,2842000000,2842000000,4482000000,3531000000,2065000000,5596000000,38000000,646000000,4765000000,1191000000,4803000000,5449000000,3574000000,6107000000,5000000,1850000000,-2748000000,646000000,435000000,-2748000000,419000000,3574000000,-1199000000,-2190000000,378000000,1540000000,1540000000,1157000000,1157000000,248000000,-1292000000,2747000000.0,0.42,0.45,6.95
82096000000,52487000000,9422000000,36099000000,589000000,11196000000,29609000000,7402000000,8170000000,13714000000,1346000000,12368000000,45068000000,6976000000,26677000000,2547000000,1517000000,37813000000,25715000000,3171000000,2249000000,2249000000,12098000000,3746000000,3746000000,5995000000,2885000000,6808000000,44283000000,-19605000000,62566000000,8811000000,2009-12-31,15394000000,19022000000,3628000000,3628000000,8513000000,4743000000,2079000000,6881000000,38000000,615000000,8883000000,2221000000,8921000000,9536000000,6662000000,4969000000,5000000,-623000000,2789000000,615000000,376000000,2789000000,-558000000,6662000000,-92000000,-4277000000,-475000000,3867000000,3867000000,1152000000,1152000000,729000000,-3138000000,599000000.0,0.42,0.45,6.95
84910000000,54518000000,8155000000,39666000000,501000000,9137000000,30392000000,7372000000,8393000000,13745000000,1282000000,12463000000,45068000000,7797000000,31511000000,2992000000,1478000000,39200000000,26424000000,3279000000,2249000000,2249000000,12776000000,3746000000,3746000000,5995000000,3145000000,7113000000,45710000000,-16807000000,62517000000,8762000000,2010-03-31,11748000000,14503000000,2755000000,2755000000,5173000000,4355000000,2220000000,6575000000,38000000,694000000,5341000000,1335000000,5379000000,6073000000,4006000000,7393000000,5000000,-117000000,-1947000000,694000000,408000000,-1947000000,-77000000,4006000000,-5904000000,-2726000000,-349000000,2023000000,2023000000,1139000000,1139000000,422000000,-1601000000,-1267000000.0,0.42,0.45,6.95
86113000000,55676000000,5505000000,36788000000,740000000,13014000000,30437000000,7630000000,8629000000,1158000000,1158000000,12394000000,45068000000,7754000000,31283000000,2950000000,1501000000,39938000000,26147000000,4025000000,1000000000,1000000000,14027000000,4900000000,4939000000,5900000000,2931000000,7445000000,46175000000,-16681000000,62856000000,8668000000,2010-06-30,12869000000,16039000000,3170000000,3170000000,5930000000,4589000000,2350000000,7937000000,37000000,718000000,6024000000,1506000000,6061000000,7714000000,4518000000,5604000000,5000000,-2612000000,4144000000,718000000,758000000,4144000000,260000000,12869000000,-4119000000,-4098000000,-545000000,3839000000,3839000000,1127000000,1127000000,912000000,-1127000000,-2650000000.0,0.46,0.51,9.82
91540000000,59581000000,8161000000,44173000000,1242000000,9646000000,31959000000,7771000000,8942000000,13548000000,1077000000,12471000000,53384000000,9211000000,36012000000,2176000000,1429000000,44598000000,25857000000,3654000000,1000000000,1000000000,25441000000,9700000000,9665000000,10700000000,3139000000,7384000000,46942000000,-14993000000,61935000000,8562000000,2010-09-30,13056000000,16195000000,3139000000,3139000000,7116000000,3744000000,2196000000,5990000000,45000000,124000000,7230000000,1820000000,7275000000,7399000000,5410000000,8194000000,5000000,327000000,-3206000000,124000000,564000000,-3674000000,468000000,5410000000,-4957000000,-639000000,814000000,4399000000,4399000000,1118000000,1118000000,177000000,-4222000000,2656000000.0,0.55,0.62,12.98
92306000000,59684000000,4023000000,41252000000,861000000,12874000000,32622000000,7799000000,9279000000,13494000000,992000000,12502000000,51274000000,10022000000,37229000000,2149000000,1307000000,43825000000,24312000000,3863000000,0,0,26413000000,9700000000,9671000000,9700000000,3190000000,7662000000,48481000000,-13165000000,61646000000,8403000000,2010-12-31,15120000000,19953000000,4833000000,4833000000,8165000000,4770000000,2185000000,6919000000,72000000,126000000,8497000000,1863000000,8569000000,8695000000,6634000000,4186000000,5000000,663000000,2890000000,126000000,491000000,3270000000,-380000000,6634000000,-1570000000,-6751000000,-2000000000,5052000000,5052000000,1363000000,1363000000,660000000,-4392000000,-4138000000.0,0.68,0.77,12.57
99727000000,66263000000,7021000000,50150000000,1056000000,10033000000,33464000000,7969000000,9564000000,13394000000,840000000,12554000000,104027000000,10748000000,43129000000,2438000000,1353000000,46275000000,24042000000,3829000000,0,0,29433000000,11900000000,11915000000,11900000000,3325000000,8001000000,53452000000,-9782000000,63234000000,8431000000,2011-03-31,12531000000,16428000000,3897000000,3897000000,5709000000,4553000000,2269000000,6971000000,84000000,162000000,6025000000,793000000,6109000000,6271000000,5232000000,8672000000,5000000,7045000000,-2235000000,162000000,658000000,-3031000000,170000000,5232000000,-7139000000,1437000000,0,848000000,848000000,1349000000,1349000000,1405000000,557000000,2998000000.0,0.56,0.61,9.74
108704000000,74918000000,9610000000,52772000000,1372000000,14987000000,33786000000,8162000000,9829000000,13325000000,744000000,12581000000,107332000000,10865000000,43162000000,3320000000,1434000000,51621000000,28774000000,4197000000,0,0,30919000000,11900000000,11921000000,11900000000,3492000000,8072000000,57083000000,-8195000000,63415000000,8376000000,2011-06-30,13659000000,17367000000,3708000000,3708000000,6171000000,5095000000,2393000000,7325000000,94000000,125000000,6319000000,445000000,6413000000,6538000000,5874000000,5942000000,183000000,12277000000,6071000000,1588000000,642000000,4886000000,303000000,13659000000,-950000000,-2423000000,0,1256000000,1256000000,1350000000,1350000000,180000000,-1076000000,2589000000.0,0.58,0.69,19.88
107415000000,75271000000,12881000000,57403000000,2270000000,10153000000,32144000000,8033000000,10209000000,13563000000,1026000000,12537000000,110501000000,8576000000,44522000000,3255000000,1972000000,48024000000,25543000000,3719000000,1231000000,4234000000,29981000000,11900000000,11927000000,11900000000,3245000000,8201000000,59391000000,-4101000000,63492000000,8410000000,2011-09-30,13595000000,17372000000,3777000000,3777000000,7203000000,4063000000,2329000000,6392000000,94000000,109000000,7306000000,1568000000,7400000000,7509000000,5738000000,8493000000,70000000,4758000000,-3998000000,109000000,436000000,-4733000000,920000000,5738000000,-2315000000,-2869000000,0,1934000000,1934000000,1341000000,1341000000,336000000,-1598000000,3271000000.0,0.68,0.68,0.38
112243000000,72513000000,10610000000,51736000000,1351000000,13643000000,39730000000,8010000000,10546000000,19670000000,2581000000,19670000000,100412000000,7550000000,41126000000,3614000000,1919000000,48122000000,25373000000,3884000000,1231000000,4447000000,30449000000,11900000000,11932000000,11900000000,3057000000,8386000000,64121000000,219000000,63902000000,8382000000,2011-12-31,15247000000,20885000000,5638000000,5638000000,7994000000,4882000000,2371000000,7253000000,95000000,155000000,8239000000,1615000000,8334000000,8489000000,6624000000,5862000000,4000000,7978000000,2126000000,155000000,498000000,3652000000,-891000000,6624000000,-5568000000,-2513000000,0,1042000000,1042000000,1683000000,1683000000,208000000,-834000000,-2271000000.0,0.76,0.78,2.93
