totalAssets,totalCurrentAssets,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,inventory,totalNonCurrentAssets,propertyPlantEquipment,intangibleAssets,intangibleAssetsExcludingGoodwill,goodwill,shortTermInvestments,otherCurrentAssets,totalLiabilities,totalCurrentLiabilities,currentAccountsPayable,totalNonCurrentLiabilities,capitalLeaseObligations,longTermDebt,shortLongTermDebtTotal,otherCurrentLiabilities,otherNonCurrentLiabilities,totalShareholderEquity,retainedEarnings,commonStock,commonStockSharesOutstanding,date,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,interestExpense,otherNonOperatingIncome,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome,operatingCashflow,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepurchaseOfEquity,EPS Estimate,Reported EPS,Surprise(%)
3463574000,2357716000,614490000,1634079000,277643000,1105858000,565296000,497661000,127817000,369844000,1019589000,1634079000,1039939000,888806000,321530000,151133000,24760000,24760000,378794000,198133000,126373000,2423635000,1765106000,646000,551283000,2009-10-25,391783000,903206000,511423000,511423000,107845000,85990000,197948000,283938000,5444000,5444000,-3082000,48770000,110207000,2630000,107577000,108552000,107845000,156615000,107577000,141317000,22778000,-30065000,48770000,16593000,23008000,1165000,107577000,-95497000,44885000,45100000,0.03,0.01,-71.99
3585918000,2480830000,447221000,1728227000,330674000,1105088000,571858000,490302000,120458000,369844000,1281006000,46966000,920778000,784378000,344527000,136400000,24450000,24450000,414727000,29950000,111950000,2665140000,1896182000,653000,561465851,2010-01-31,438721000,982488000,543767000,543767000,134282000,88188000,216251000,304439000,5768000,3320000,2691000,47914000,139421000,8345000,438721000,131076000,134282000,182196000,131076000,69245000,22778000,-30065000,47914000,22575000,23008000,-462385000,438721000,-283774000,47260000,45837000,0.03,0.01,-71.99
3803030000,2726980000,447262000,447262000,388139000,1076050000,548916000,485267000,115423000,369844000,1317634000,1764896000,942385000,765293000,362740000,177092000,24098000,24098000,24098000,402553000,152994000,2860645000,2033776000,663000,567183000,2010-05-02,456377000,1001813000,545436000,545436000,147393000,90879000,218105000,308984000,5571000,5571000,-2239000,47147000,150725000,13131000,456377000,136296000,147393000,194540000,137594000,-5397000,16822000,-211827000,47147000,17080000,-155011000,-56816000,456377000,-57342000,62780000,63100000,0.03,0.01,-71.99
3731268000,2655962000,377003000,377003000,434227000,1075306000,542216000,488723000,118879000,369844000,1395497000,1772500000,970754000,819139000,280041000,151615000,23734000,23734000,23734000,539098000,127881000,2760514000,1892815000,665000,572764000,2010-08-01,134292000,811208000,676916000,676916000,-175207000,98864000,210635000,309499000,4805000,4805000,1355000,46573000,-169047000,-28086000,-387800000,-140599000,-175207000,-128634000,-140961000,34344000,-84308000,87856000,46573000,37644000,133818000,-45962000,-387800000,-119101000,14498000,14800000,0.03,0.01,-71.99
3915579000,2807702000,451174000,1987220000,377812000,1107877000,585672000,482486000,112642000,369844000,1536046000,1987220000,1017699000,816489000,324770000,201210000,23359000,23359000,23359000,491719000,177851000,2897880000,1977677000,671000,577323000,2010-10-31,392062000,843912000,451850000,451850000,103783000,83752000,204527000,288279000,4220000,4220000,-4418000,46786000,103585000,18723000,84862000,86295000,103783000,150569000,84862000,212177000,45618000,52658000,46876000,21823000,-3374000,56032000,84862000,-163984000,25978000,26279000,0.04,0.04,6.02
4495246000,3226950000,665361000,2490563000,345525000,1268296000,568857000,658589000,288745000,369844000,1825202000,42092000,1313784000,942682000,286138000,371102000,23389000,23389000,359769000,71300000,347713000,3181462000,2149328000,677000,588555701,2011-01-30,426359000,886376000,460017000,460017000,179778000,88018000,215563000,246581000,4461000,3127000,4794000,46393000,185906000,14255000,426359000,169254000,179778000,226171000,171651000,434673000,-47918000,83526000,46393000,21343000,50908000,60874000,426359000,-309251000,88765000,73200000,0.04,0.06,45.35
4736744000,3496763000,683633000,683633000,380964000,1239981000,553366000,648605000,278761000,369844000,2042908000,2726541000,1288936000,981166000,346295000,307770000,22957000,22957000,22957000,634871000,284813000,3447808000,2284547000,688000,594802000,2011-05-01,484503000,962039000,477536000,477536000,154862000,98117000,231524000,329641000,5313000,5313000,-3690000,47764000,156485000,21266000,483203000,136068000,154862000,202626000,135219000,172200000,53740000,-30101000,47764000,31195000,5820000,-35183000,483203000,-252506000,98578000,85300000,0.05,0.06,14.08
4864424000,3317557000,532614000,2474496000,361911000,1596057000,550896000,951649000,358136000,593513000,1941882000,2474496000,1174955000,960299000,297813000,263846000,22493000,22493000,22493000,662486000,192163000,3689469000,2436120000,691000,601340000,2011-07-31,525284000,1016517000,491233000,5000000,174030000,103533000,247721000,351254000,5266000,5266000,-1749000,52160000,177547000,25974000,151573000,154886000,174030000,226190000,151573000,82021000,-62106000,-29579000,5000000,23323000,-63331000,33014000,151573000,-273218000,40178000,39499000,0.06,0.06,-0.26
5089043000,3500071000,566816000,2748354000,319602000,1588972000,551757000,990892000,342839000,648053000,2181538000,2748354000,1115593000,886684000,307943000,228909000,21949000,21949000,21949000,578741000,206960000,3973450000,2614393000,698000,607063000,2011-10-30,556717000,1066180000,509463000,509463000,197090000,103129000,256498000,359627000,4356000,4356000,3341000,52387000,204787000,26514000,178273000,172836000,197090000,249477000,178273000,244417000,17584000,90594000,5000000,39035000,48677000,41917000,178273000,-289145000,78930000,51700000,0.06,0.07,11.66
5552928000,3905358000,667876000,3129576000,340297000,1647570000,560072000,967166000,326136000,641030000,2461700000,120332000,1407204000,929958000,335072000,477246000,21439000,21439000,310237000,35439000,455807000,4145724000,2730418000,700000,612191412,2012-01-29,490013000,953194000,463181000,463181000,122317000,100834000,266862000,367696000,4213000,1124000,1136000,51895000,124577000,8552000,477613000,117641000,122317000,174212000,116025000,410518000,26490000,-76034000,150000000,45182000,-17402000,-58632000,477613000,-328495000,19037000,19400000,0.05,0.05,0.44
