fiscalDateEnding,reportedCurrency,totalAssets,totalCurrentAssets,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,inventory,currentNetReceivables,totalNonCurrentAssets,propertyPlantEquipment,accumulatedDepreciationAmortizationPPE,intangibleAssets,intangibleAssetsExcludingGoodwill,goodwill,investments,longTermInvestments,shortTermInvestments,otherCurrentAssets,otherNonCurrentAssets,totalLiabilities,totalCurrentLiabilities,currentAccountsPayable,deferredRevenue,currentDebt,shortTermDebt,totalNonCurrentLiabilities,capitalLeaseObligations,longTermDebt,currentLongTermDebt,longTermDebtNoncurrent,shortLongTermDebtTotal,otherCurrentLiabilities,otherNonCurrentLiabilities,totalShareholderEquity,treasuryStock,retainedEarnings,commonStock,commonStockSharesOutstanding
2024-08-03,USD,5536300000,4883900000,4193100000,4204200000,560000000,59700000,672800000,78900000,846000000,None,None,None,11100000,None,11100000,60000000,65100000,1152900000,783500000,220500000,248200000,11000000,359400000,369400000,510100000,12400000,11000000,12400000,533500000,203600000,21100000,4383400000,None,-230300000,200000,426500000
2024-05-04,USD,2587100000,1879700000,999900000,1082900000,675800000,58900000,721500000,82400000,843600000,None,None,None,83000000,None,83000000,62100000,65500000,1279800000,848300000,282700000,253200000,10800000,188500000,431500000,None,14900000,10800000,14900000,14900000,377100000,31300000,1307400000,None,-245100000,100000,306200000
2024-02-03,USD,2709000000,1974200000,921700000,1199300000,632500000,91000000,662700000,94900000,851200000,None,None,None,277600000,None,277600000,51400000,66800000,1370400000,934500000,324000000,274100000,10800000,386200000,435900000,574300000,28500000,10800000,17700000,28500000,199500000,31600000,1338600000,None,-212800000,100000,305700000
2023-10-28,USD,3146900000,2376800000,909000000,1209500000,1021300000,88300000,785200000,114500000,973000000,None,None,None,300500000,None,300500000,57700000,68600000,1884100000,1437800000,812700000,268400000,10500000,388300000,446300000,583700000,30500000,10500000,20000000,30500000,236800000,31500000,1262800000,None,-275900000,100000,305500000
2023-07-29,USD,2803700000,2005200000,894700000,1194700000,676900000,75600000,813900000,119300000,983000000,None,None,None,300000000,None,300000000,58000000,78600000,1536500000,1071400000,378000000,286700000,11000000,205900000,465100000,600600000,34600000,11000000,23600000,34600000,487500000,35800000,1267200000,None,-272800000,100000,305200000
2023-04-29,USD,3070200000,2254600000,1057000000,1310100000,759500000,119200000,830900000,123600000,988300000,None,None,None,253100000,None,253100000,65800000,78700000,1798600000,1319500000,561400000,325500000,10900000,211700000,479100000,613300000,37200000,10900000,26300000,37200000,546400000,40300000,1271600000,None,-270000000,100000,304700000
2023-01-28,USD,3113400000,2323700000,1139000000,1390600000,682900000,153900000,718700000,136500000,1006800000,7600000,7600000,None,251600000,None,251600000,96300000,74100000,1791100000,1339100000,531300000,338200000,10800000,205500000,452000000,577100000,39500000,10800000,28700000,39500000,198200000,40900000,1322300000,None,-219500000,100000,304600000
2022-10-29,USD,3322500000,2581800000,803800000,1042100000,1131300000,125300000,755500000,138500000,981400000,None,None,None,238300000,None,238300000,283100000,64700000,2077500000,1588700000,888400000,329100000,9900000,196100000,488800000,535800000,38700000,9900000,28800000,38700000,489900000,110400000,1245000000,None,-267700000,100000,304300000
2022-07-30,USD,2799500000,2019200000,908900000,908900000,734800000,99600000,795300000,146800000,990100000,None,None,None,None,None,0,275900000,62500000,1456000000,932400000,217400000,323100000,8900000,202900000,523600000,561400000,41000000,8900000,32100000,41000000,512100000,124100000,1343500000,None,-173000000,100000,304000000
2022-04-30,USD,3125500000,2329600000,1035000000,1035000000,917600000,103400000,795900000,157400000,993600000,None,None,None,None,None,0,240300000,53100000,1674800000,1126900000,386800000,330000000,6500000,206800000,547900000,574800000,42200000,6500000,35700000,42200000,533300000,137700000,1450700000,None,-64300000,100000,75900000
2022-01-29,USD,3499300000,2598800000,1271400000,1271400000,915000000,141100000,807400000,163600000,1029800000,12100000,12100000,None,None,None,0,238200000,134000000,1896800000,1354700000,471000000,378300000,4100000,214800000,542100000,604400000,44600000,4100000,40500000,44600000,279100000,107900000,1602500000,None,93600000,100000,75900000
2021-10-30,USD,3762000000,2913100000,1413000000,1413000000,1140900000,83400000,848900000,179600000,1122000000,None,None,None,None,None,0,236300000,53500000,2007100000,1533300000,711500000,338700000,1400000,213300000,473800000,621600000,46200000,1400000,44800000,46200000,608500000,19300000,1754900000,None,241100000,100000,75900000
2021-07-31,USD,3545800000,2657000000,1720400000,1720400000,596400000,68500000,888800000,186600000,1113700000,None,None,None,None,None,None,235000000,57000000,1693800000,1194300000,409700000,318100000,0,221500000,499500000,653500000,47500000,0,47500000,47500000,563100000,20000000,1852000000,None,346500000,100000,75900000
2021-05-01,USD,2562700000,1657200000,694700000,694700000,570900000,102100000,905500000,192600000,1109900000,None,None,None,None,None,None,232100000,40000000,1683200000,1217900000,388600000,322600000,48100000,267500000,465300000,664400000,48100000,48100000,0,48100000,561800000,20300000,879500000,None,408100000,100000,69300000
2021-01-30,USD,2472600000,1551200000,508500000,508500000,602500000,105300000,819700000,201200000,1117700000,18500000,18500000,0,None,None,None,224900000,41600000,2035900000,1342700000,341800000,348200000,146700000,374100000,693200000,684100000,362700000,121700000,216000000,362700000,255200000,20500000,436700000,None,474900000,100000,65300000
2020-10-31,USD,2601400000,1651900000,445900000,445900000,861000000,77600000,949500000,193000000,1175300000,None,None,None,None,None,None,126700000,44600000,2269200000,1576700000,440200000,404600000,269500000,31600000,692500000,669600000,485500000,25000000,216000000,517100000,654100000,19800000,332200000,None,394400000,100000,65200000
2020-08-01,USD,2375200000,1379900000,735100000,735100000,474600000,83100000,995300000,219700000,1176500000,None,None,None,None,None,None,87100000,44900000,2022900000,1312200000,256400000,292700000,256300000,221300000,710700000,694300000,472200000,35000000,215900000,693500000,580700000,19300000,352300000,None,413200000,100000,65200000
2020-05-02,USD,2469000000,1419900000,570300000,570300000,654700000,86700000,1049100000,256300000,1172400000,None,None,0,None,None,None,108200000,43800000,2034000000,1519700000,212100000,304600000,552200000,417200000,514300000,743300000,552200000,417200000,0,969400000,506000000,20400000,435000000,None,524500000,100000,64600000
2020-02-01,USD,2819700000,1633700000,499400000,499400000,859700000,141900000,1199800000,275900000,1190100000,0,22800000,0,None,None,None,120900000,46300000,2208200000,1237700000,380800000,339200000,0,239400000,970500000,768700000,419800000,0,419800000,419800000,267600000,21400000,611500000,None,690200000,100000,64300000
2019-11-02,USD,3145600000,1863100000,290300000,290300000,1286700000,145700000,1282500000,287100000,1230400000,22800000,22800000,0,None,None,None,127600000,65700000,2528500000,1573500000,709900000,348600000,0,238500000,955000000,768700000,419400000,0,419400000,419400000,625100000,19100000,617100000,None,688500000,100000,67900000
2019-08-03,USD,2987900000,1667600000,424000000,424000000,948900000,122400000,1333600000,312000000,1255300000,None,None,0,None,None,None,143200000,80800000,2178200000,1216800000,368300000,354500000,0,240300000,961400000,755000000,419100000,0,419100000,419100000,14500000,18400000,809700000,None,884700000,100000,90500000
2019-05-04,USD,3633300000,1920100000,543200000,543200000,1149100000,126000000,1726400000,313300000,1247900000,363900000,33500000,363900000,None,None,None,101800000,81700000,2341600000,1297300000,458400000,350200000,250000000,250000000,1044300000,764200000,468900000,0,468900000,1271500000,588900000,22800000,1291700000,None,1330800000,100000,102300000
2019-02-02,USD,4044300000,3127700000,1624400000,1624400000,1250500000,134200000,916600000,321300000,1235800000,397400000,33500000,363900000,None,None,None,118600000,84100000,2708100000,2181100000,1051900000,376900000,349200000,349200000,527000000,None,820800000,349200000,471600000,820800000,387100000,55400000,1336200000,None,1362700000,100000,102000000
