fiscalDateEnding,reportedCurrency,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,changeInCashAndCashEquivalents,changeInExchangeRate,netIncome
2024-08-03,USD,68600000,None,None,-64600000,-105800000,7600000,3100000,-500000,-115900000,14800000,78400000,3052900000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,14800000
2024-05-04,USD,-109800000,None,None,-89300000,1300000,16800000,4900000,-33400000,43200000,-32300000,189800000,-2700000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,-32300000
2024-02-03,USD,-11000000,None,None,-512700000,-400900000,74800000,7700000,700000,-397000000,63100000,20600000,-3500000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,63100000
2023-10-28,USD,19100000,None,None,380900000,369100000,11300000,8000000,13300000,357500000,-3100000,5100000,-2600000,0,0,0,None,None,None,None,0,0,None,0,None,None,None,-3100000
2023-07-29,USD,-109100000,None,None,-246500000,-134900000,12600000,10100000,-43400000,-83500000,-2800000,-52200000,-2700000,0,0,0,None,None,None,None,0,0,None,0,None,-164000000,None,-2800000
2023-04-29,USD,-102700000,None,None,-22300000,51500000,13700000,9100000,-35600000,83100000,-50500000,-6700000,-2800000,None,None,None,None,None,None,None,None,None,None,None,None,-112200000,None,-50500000
2023-01-28,USD,338200000,None,None,-353700000,-455400000,75900000,11600000,30100000,-474600000,48200000,-19100000,-4600000,0,None,None,None,None,None,None,0,None,None,-4000000,None,314500000,None,48200000
2022-10-29,USD,177300000,None,None,672000000,451900000,15100000,13000000,26000000,414600000,-94700000,-249600000,-300000,None,None,None,None,None,None,None,0,None,None,None,None,-72600000,None,-94700000
2022-07-30,USD,-103400000,None,None,-204700000,-185400000,15300000,20500000,-3000000,-179500000,-108700000,-20100000,-1900000,None,None,None,None,None,None,None,0,None,None,None,None,-125400000,None,-108700000
2022-04-30,USD,-303900000,None,None,-179800000,3900000,17100000,10800000,-36300000,9900000,-157900000,66100000,-1100000,0,0,0,None,None,None,None,0,0,None,0,None,-238900000,None,-157900000
2022-01-29,USD,-110300000,None,None,-151000000,-138500000,101200000,21300000,59400000,-215600000,-147500000,-23700000,-3100000,0,0,0,None,None,None,None,0,None,None,0,None,-137100000,None,-147500000
2021-10-30,USD,-293700000,None,None,351800000,562700000,16900000,12500000,15200000,546400000,-105400000,-12800000,0,0,None,None,None,100000,100000,None,0,None,None,2800000,None,-105400000,None,-105400000
2021-07-31,USD,-11500000,200000,None,36600000,-800000,17600000,13500000,-33100000,31200000,-61600000,-13600000,1034400000,0,0,0,None,100000,100000,None,1121100000,0,None,1118300000,None,-66900000,None,-61600000
2021-05-01,USD,-18800000,200000,None,-11500000,-32600000,18700000,14700000,-3100000,-32400000,-66800000,-14700000,169300000,-25000000,None,None,None,100000,100000,None,551700000,None,None,551700000,None,-5200000,None,-66800000
2021-01-30,USD,164800000,66000000,None,-159600000,-336400000,100400000,27400000,26000000,-270800000,18800000,-26400000,-120900000,0,0,0,None,0,300000,None,0,None,None,3100000,None,18800000,None,80500000
2020-10-31,USD,-184600000,None,None,272500000,381900000,19400000,15100000,-5300000,382600000,-18800000,27300000,13500000,13500000,0,0,None,0,300000,None,0,0,None,0,None,-18800000,None,-18800000
2020-08-01,USD,192800000,None,None,79800000,-200200000,20200000,10900000,-6100000,-198200000,-85600000,42100000,-79900000,-76400000,0,None,None,0,300000,None,0,None,None,None,None,8600000,None,-111300000
2020-05-02,USD,-49300000,None,None,-274300000,-256200000,21500000,6600000,-54400000,-196000000,-165700000,-6100000,131900000,135000000,None,None,None,300000,300000,None,0,None,None,-500000,None,-108000000,None,-165700000
2020-02-01,USD,240300000,140300000,None,-304500000,-494200000,122300000,17100000,4200000,-422700000,21000000,-4000000,-22000000,None,21800000,21800000,None,0,300000,None,None,None,None,-21800000,None,207400000,-6900000,21000000
2019-11-02,USD,-8100000,72400000,None,350900000,350600000,23900000,20200000,15200000,332100000,-83400000,-14700000,-114000000,None,114000000,114000000,None,0,40500000,None,None,None,None,-114000000,None,-45600000,None,-83400000
2019-08-03,USD,18300000,66300000,None,-52200000,-171500000,22900000,22600000,-1600000,-181100000,-415300000,-23500000,-114700000,None,0,0,None,200000,200000,None,None,None,None,0,None,-415300000,None,-415300000
2019-05-04,USD,-665000000,84300000,None,-787000000,-100100000,23300000,18600000,-6900000,-89400000,6800000,-18700000,-394000000,None,None,None,None,40300000,40300000,None,None,None,None,-600000,None,6800000,None,6800000
2019-02-02,USD,504300000,None,None,-385700000,-685300000,136300000,27800000,54900000,-717900000,-187700000,701700000,-38700000,0,0,0,None,38700000,38700000,None,None,None,None,None,None,832000000,-24700000,-187700000
2018-11-03,USD,250700000,None,None,948600000,778300000,30500000,25800000,-10800000,782300000,-488600000,-28400000,-39700000,0,0,0,None,38800000,38800000,None,None,None,None,-900000,None,-517900000,None,-488600000
2018-08-04,USD,102000000,None,None,96800000,-22200000,32500000,22500000,14600000,-49300000,-24900000,-21400000,-39000000,0,0,0,None,39000000,39000000,None,None,None,None,None,None,-24900000,None,-24900000
2018-05-05,USD,-531900000,None,None,-680800000,-51200000,34400000,17600000,-24300000,-27700000,28200000,-16400000,-57300000,None,0,None,None,40900000,40900000,None,None,None,None,-4200000,None,28200000,None,28200000
2018-02-03,USD,452000000,221700000,None,-356900000,-486700000,162200000,27800000,-15300000,-518200000,-105900000,-22600000,-38600000,-373000000,0,None,None,38500000,38500000,None,None,0,None,0,None,409100000,20800000,-105900000
2017-10-28,USD,294600000,0,None,906800000,712300000,37000000,38400000,10800000,698900000,59400000,-37400000,-60400000,0,0,None,None,38500000,38500000,None,None,0,None,0,None,192600000,-4800000,59400000
2017-07-29,USD,-54900000,None,None,-77800000,-80100000,37900000,27200000,17500000,-98400000,22200000,26600000,-38500000,0,0,None,None,38500000,38500000,None,None,0,None,0,None,-49800000,20500000,22200000
2017-04-29,USD,-256800000,None,None,-317100000,76300000,38300000,20000000,-48700000,114900000,59000000,-27200000,-65000000,None,22000000,None,None,39700000,39700000,None,None,0,None,-22000000,None,-357500000,-8500000,59000000
2017-01-28,USD,405500000,None,None,-394100000,-463100000,208400000,36900000,40300000,-497600000,208700000,-35900000,-58100000,None,19800000,None,None,37700000,37700000,None,None,0,None,-11400000,None,311600000,2300000,208700000
2016-10-29,USD,567800000,None,None,1052600000,610400000,42600000,39700000,55000000,551400000,50800000,-432500000,-72500000,None,33300000,None,None,38500000,38500000,None,None,0,None,-33900000,None,66600000,3800000,50800000
2016-07-30,USD,-60100000,None,None,-240700000,-164200000,41400000,36700000,-12000000,-156100000,27900000,-81100000,-38900000,None,0,None,None,38400000,38400000,None,None,0,None,-200000,None,-184100000,-4000000,27900000
2016-04-30,USD,-376100000,0,None,-352000000,57500000,41000000,29400000,-39400000,87600000,65800000,-27900000,408200000,0,10000000,10000000,None,40900000,40900000,None,None,475000000,None,-17600000,None,23200000,19000000,65800000
2016-01-30,USD,468700000,None,None,-631900000,-698500000,197400000,43800000,-8300000,-673900000,247800000,-106900000,-86900000,None,43800000,None,None,39000000,39000000,None,None,0,None,-43200000,None,264200000,-10700000,247800000
2015-10-31,USD,211100000,300000,None,1024900000,952100000,39900000,53600000,67600000,882000000,55900000,-64200000,-93200000,-11000000,46400000,46400000,None,37900000,37900000,None,None,0,None,-44600000,None,50000000,-3700000,55900000
2015-08-01,USD,105600000,None,None,25500000,-69400000,38300000,48000000,12900000,-94900000,25300000,-235300000,-86000000,None,61200000,None,None,38400000,38400000,None,None,0,None,-59400000,None,-233600000,-17900000,25300000
2015-05-02,USD,-128600000,None,None,-332900000,-70900000,36300000,27800000,-14100000,-64000000,73800000,-38200000,-80100000,None,42900000,None,None,38800000,38800000,None,None,0,None,-47100000,None,-240300000,6600000,73800000
