fiscalDateEnding,reportedCurrency,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome
2024-08-03,USD,248800000,798300000,549500000,549500000,-22000000,270800000,None,270800000,None,39500000,39500000,None,2600000,0,None,7600000,17500000,2700000,None,14800000,14900000,-22000000,-14400000,14800000
2024-05-04,USD,244500000,881800000,637300000,637300000,-50600000,295100000,None,312200000,None,14900000,14900000,None,-300000,0,None,16800000,-35700000,-3400000,None,-32300000,-31800000,-50600000,-33800000,-32300000
2024-02-03,USD,419200000,1793600000,1374400000,1374400000,55200000,359200000,None,389100000,None,15300000,15300000,None,5266300000,500000,None,18600000,71000000,7900000,None,63100000,68400000,55200000,73800000,63100000
2023-10-28,USD,281800000,1078300000,796500000,796500000,-14700000,296500000,None,296500000,None,12900000,12900000,None,5600000,-2500000,None,11300000,-4300000,-1200000,None,-3100000,-10800000,-14700000,-3400000,-3100000
2023-07-29,USD,305900000,1163800000,857900000,857900000,-16600000,322500000,None,322500000,None,11600000,11600000,11600000,0,2000000,None,12600000,-3000000,-200000,None,-2800000,-4100000,-16600000,-4000000,-2800000
2023-04-29,USD,287300000,1237100000,949800000,949800000,-58400000,345700000,None,360000000,None,9700000,9700000,9700000,-600000,-1900000,None,13700000,-50600000,-100000,None,-50500000,-58500000,-58400000,-44700000,-50500000
2023-01-28,USD,499800000,2226400000,1726600000,1726600000,46200000,453400000,None,469800000,None,6200000,6200000,6200000,5929800000,0,None,14200000,52400000,4200000,0,48200000,70100000,46200000,60400000,48200000
2022-10-29,USD,291600000,1186400000,894800000,894800000,-96300000,387900000,None,387900000,None,3700000,3700000,3700000,-3500000,0,None,15100000,-92600000,2100000,0,-94700000,-111500000,-96300000,-81200000,-94700000
2022-07-30,USD,282200000,1136000000,853800000,853800000,-107800000,387500000,None,387500000,None,300000,300000,300000,-1200000,0,None,15300000,-107500000,1200000,-700000,-108700000,-113100000,-107800000,-92500000,-108700000
2022-04-30,USD,298500000,1378400000,1079900000,1079900000,-153700000,452200000,None,462800000,None,-700000,700000,700000,-400000,0,None,17100000,-154400000,3500000,700000,-157900000,-161800000,-153700000,-136600000,-157900000
2022-01-29,USD,378200000,2253900000,1875700000,1875700000,-166800000,538900000,None,568300000,None,-900000,-200000,700000,2250400000,None,None,23300000,-167700000,-20200000,700000,-147500000,-162000000,-167000000,-143700000,-147500000
2021-10-30,USD,318600000,1296600000,978000000,978000000,-102900000,421500000,None,421500000,0,-800000,800000,800000,1296600000,None,None,16900000,-103700000,1700000,800000,-105400000,-103300000,-102900000,-86000000,-105400000
2021-07-31,USD,320900000,1183400000,862500000,862500000,-58000000,378900000,None,378900000,100000,-500000,100000,600000,1183400000,100000,None,17600000,-58500000,3100000,600000,-61600000,-70700000,-57900000,-40300000,-61600000
2021-05-01,USD,330100000,1276800000,946700000,946700000,-40800000,370300000,None,390000000,None,-24700000,100000,24700000,-18600000,100000,None,18700000,-65500000,1300000,42900000,-66800000,-64700000,-40800000,-22100000,-66800000
2021-01-30,USD,448600000,2122100000,1673500000,1673500000,18800000,419100000,None,448700000,300000,-6600000,300000,6600000,2118800000,300000,None,18900000,10800000,-69700000,8500000,80300000,98600000,17400000,36300000,80500000
2020-10-31,USD,276300000,1004700000,728400000,728400000,-63000000,360400000,None,339300000,300000,-10000000,7500000,10000000,1004700000,300000,None,19400000,-72700000,-53900000,10000000,-18800000,-22300000,-62700000,-43300000,-18800000
2020-08-01,USD,252200000,942000000,689800000,689800000,-85600000,348200000,None,337800000,400000,-7900000,400000,7900000,942000000,None,None,20200000,-93400000,17900000,7900000,-111000000,-84300000,-85500000,-65300000,-111300000
2020-05-02,USD,282400000,1021000000,738600000,738600000,-108000000,386500000,None,412200000,900000,-7600000,900000,7600000,1021400000,900000,None,21500000,-115300000,50400000,6900000,-165100000,-177800000,-107700000,-86200000,-165700000
2020-02-01,USD,597300000,2194100000,1596800000,1596800000,75200000,511700000,None,10400000,1400000,-7900000,-11300000,-3400000,2186300000,1400000,None,25900000,64800000,43800000,7900000,24900000,13700000,61400000,87300000,21000000
2019-11-02,USD,441100000,1438500000,997400000,997400000,-45600000,475400000,None,11300000,2000000,-8000000,1400000,8000000,1438500000,2000000,None,23600000,-51800000,31600000,8000000,-83200000,-79800000,-43800000,-20200000,-83400000
2019-08-03,USD,399100000,1285700000,886600000,886600000,-446700000,481900000,None,363900000,2600000,-9600000,7000000,9600000,1285700000,2600000,None,22600000,-455400000,-40100000,9600000,-413600000,-422200000,-445800000,-423200000,-415300000
2019-05-04,USD,471200000,1547700000,1076500000,9600000,17500000,453700000,None,477700000,5300000,-13000000,2600000,13000000,1547000000,5300000,None,23100000,9100000,2300000,13000000,7500000,-7100000,22100000,45200000,6800000
2019-02-02,USD,748800000,3063000000,2314200000,2314200000,-232100000,633000000,None,428400000,3600000,-14100000,None,14100000,3163200000,3600000,None,25100000,-161800000,25900000,14100000,-268500000,-188000000,-147700000,-122600000,-187700000
2018-11-03,USD,558200000,1935400000,1377200000,16800000,-517900000,463600000,None,587500000,1100000,-14100000,None,14100000,1935400000,1100000,None,25000000,-512600000,-24000000,14100000,-506900000,-502200000,-498500000,-473500000,-488600000
2018-08-04,USD,470000000,1501100000,1031100000,9000000,1500000,441500000,None,468500000,500000,-14400000,None,14400000,1501100000,500000,None,27000000,2500000,27400000,14400000,-39800000,-42300000,16900000,43900000,-24900000
2018-05-05,USD,531100000,1785800000,1254700000,16600000,46500000,456100000,None,485000000,500000,-14200000,None,14200000,1785400000,500000,None,28500000,40600000,12400000,14200000,20400000,-7000000,54800000,83300000,28200000
2018-02-03,USD,864700000,2864000000,572400000,2414800000,251100000,360900000,None,13800000,1100000,-14200000,None,14200000,8541400000,1100000,None,10000000,-1900000,104000000,14200000,116900000,-69400000,12300000,22300000,-105900000
2017-10-28,USD,559800000,1974500000,1901000000,1299200000,71900000,565100000,None,601800000,200000,-14100000,None,14100000,1988600000,200000,None,36700000,73700000,14300000,14100000,49700000,36200000,87800000,124500000,59400000
