fiscalDateEnding,reportedCurrency,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,changeInCashAndCashEquivalents,changeInExchangeRate,netIncome
2024-09-30,USD,-38060000000,18860000000,None,14685000000,68877000000,95000000,466000000,None,None,2990000000,-29286000000,10340000000,None,1000000000,1000000000,0,1169000000,1169000000,None,None,17959000000,1995000000,995000000,None,None,None,2990000000
2024-06-30,USD,6120000000,17994000000,None,-2385000000,13183000000,33000000,542000000,None,None,3043000000,-5243000000,-2371000000,None,3500000000,4200000000,0,1052000000,1052000000,None,None,20921000000,0,-1956000000,None,None,None,3043000000
2024-03-31,USD,-28038000000,16905000000,None,800000000,30421000000,26000000,497000000,None,None,4132000000,-7980000000,7171000000,None,1500000000,1500000000,0,1123000000,1123000000,None,None,15536000000,0,-1500000000,None,None,None,4132000000
2023-12-31,USD,-28358000000,16840000000,None,4097000000,15548000000,27000000,546000000,None,None,2008000000,-3342000000,28016000000,None,1000000000,1000000000,0,1065000000,1065000000,None,None,19209000000,0,-1000000000,None,None,None,2008000000
2023-09-30,USD,-25534000000,15609000000,None,-334000000,146992000000,554000000,507000000,None,None,2058000000,-8033000000,6442000000,None,1500000000,2500000000,0,1099000000,1099000000,None,None,0,0,-1004000000,None,None,None,2058000000
2023-06-30,USD,31901000000,14495000000,None,-184000000,868000000,48000000,666000000,None,None,1216000000,-3959000000,13886000000,None,750000000,750000000,0,1012000000,1012000000,None,None,0,0,-750000000,None,41828000000,None,1216000000
2023-03-31,USD,9404000000,13082000000,None,2172000000,-1236000000,52000000,597000000,None,None,3234000000,-1978000000,-20544000000,None,2546000000,2546000000,0,1013000000,1013000000,None,None,0,0,-2546000000,None,-13118000000,None,3234000000
2022-12-31,USD,-33162000000,9140000000,None,-40349000000,-1120000000,50000000,754000000,None,None,1326000000,-6292000000,-9576000000,None,1500000000,1500000000,0,1013000000,1013000000,None,None,15203000000,0,-1500000000,None,-30865000000,None,1326000000
2022-09-30,USD,16010000000,6144000000,None,None,1003000000,54000000,990000000,None,None,3069000000,-14159000000,1621000000,None,1000000000,1000000000,0,997000000,997000000,None,None,None,0,-1000000000,None,-4355000000,None,3069000000
2022-06-30,USD,45394000000,2439000000,None,None,-342000000,51000000,1051000000,None,None,2927000000,-38488000000,14456000000,None,500000000,500000000,0,857000000,857000000,None,None,None,0,-500000000,None,14442000000,None,2927000000
2022-03-31,USD,-19534000000,1299000000,None,None,-2702000000,19000000,953000000,None,None,3939000000,-17021000000,53101000000,None,500000000,500000000,0,815000000,815000000,None,None,None,0,-500000000,None,13128000000,None,3939000000
2021-12-31,USD,30274000000,1127000000,None,None,3776000000,31000000,1119000000,None,None,39335000000,-13938000000,38247000000,None,500000000,500000000,0,822000000,822000000,None,None,None,749000000,249000000,None,49206000000,None,3935000000
2021-09-30,USD,-39260000000,1371000000,None,None,2215000000,22000000,883000000,None,None,-30022000000,-4819000000,15620000000,None,1000000000,1000000000,0,792000000,792000000,None,None,None,748000000,-252000000,None,5378000000,None,5378000000
2021-06-30,USD,20467000000,1127000000,None,None,-1091000000,31000000,1353000000,None,None,5486000000,-9221000000,37888000000,None,1000000000,1675000000,675000000,560000000,560000000,None,None,None,675000000,-1000000000,None,5486000000,None,5486000000
2021-03-31,USD,-5183000000,1896000000,None,None,656000000,36000000,1312000000,None,None,6836000000,-2487000000,42983000000,None,2700000000,4700000000,2000000000,551000000,551000000,None,None,None,0,-4700000000,None,35313000000,None,6836000000
2020-12-31,USD,11207000000,1443000000,None,None,444000000,30000000,1403000000,None,None,14412000000,-8923000000,-4450000000,None,0,0,0,592000000,592000000,None,None,None,0,349000000,None,2641000000,None,4506000000
2020-09-30,USD,34936000000,1793000000,None,None,-238000000,40000000,998000000,None,None,-3367000000,2996000000,-17330000000,None,0,0,0,580000000,580000000,None,None,None,0,0,None,3367000000,None,3367000000
2020-06-30,USD,-11647000000,1814000000,None,None,598000000,36000000,1065000000,None,None,-2799000000,3907000000,34850000000,None,0,0,0,626000000,626000000,None,None,None,0,0,None,373000000,None,373000000
2020-03-31,USD,-53031000000,4041000000,None,None,-2624000000,41000000,2843000000,None,None,1213000000,-32336000000,57310000000,None,1928000000,2278000000,350000000,538000000,538000000,None,None,None,349000000,-2278000000,None,-28057000000,None,1213000000
2019-12-31,USD,49831000000,4513000000,None,None,-71392000000,39000000,2046000000,None,None,1917000000,-3320000000,-7059000000,None,2162000000,2762000000,600000000,644000000,644000000,None,None,None,599000000,-2163000000,None,39452000000,None,1917000000
2019-09-30,USD,9774000000,5180000000,None,5306000000,37748000000,52000000,2229000000,None,None,1877000000,-19584000000,12812000000,None,673000000,1173000000,500000000,550000000,550000000,None,None,None,0,-1173000000,None,3002000000,None,1877000000
2019-06-30,USD,8631000000,4580000000,None,10170000000,5600000000,39000000,2040000000,None,None,2421000000,807000000,-6230000000,None,1250000000,1250000000,0,535000000,535000000,None,None,None,0,-751000000,None,3208000000,None,2421000000
2019-03-31,USD,-44368000000,4372000000,None,-7888000000,29502000000,43000000,2128000000,None,None,2251000000,-2139000000,3844000000,None,1250000000,1250000000,0,375000000,375000000,None,None,None,0,-1250000000,None,-42663000000,None,2251000000
2018-12-31,USD,14244000000,4590000000,None,-4527000000,-13366000000,34000000,2035000000,None,None,2538000000,-1985000000,-583000000,None,1250000000,1250000000,0,521000000,521000000,None,None,None,0,-1250000000,None,11676000000,None,2538000000
2018-09-30,USD,-5314000000,4510000000,None,212000000,5017000000,33000000,2196000000,None,None,2524000000,-4032000000,-3200000000,None,1244000000,1244000000,0,382000000,382000000,None,None,None,0,-1244000000,None,-12546000000,None,2524000000
2018-06-30,USD,8598000000,4070000000,None,-11520000000,12022000000,40000000,2188000000,None,645000000,2565000000,-3590000000,5906000000,None,0,0,0,531000000,531000000,None,None,None,0,0,None,10914000000,None,2565000000
2018-03-31,USD,-964000000,3550000000,None,12165000000,19708000000,45000000,1563000000,None,None,2832000000,-9213000000,20629000000,None,800000000,1450000000,650000000,376000000,376000000,None,None,None,0,-1450000000,None,10452000000,None,2832000000
2017-12-31,USD,-9105000000,-940000000,None,-2866000000,-23677000000,47000000,975000000,None,None,-1928000000,-8548000000,11094000000,None,1629000000,2479000000,None,498000000,498000000,None,None,None,0,-984000000,None,-6559000000,None,-1928000000
2017-09-30,USD,2713000000,5830000000,None,-2902000000,3364000000,33000000,689000000,None,None,2128000000,-11123000000,14132000000,None,2174000000,2174000000,None,395000000,395000000,None,None,None,0,-2174000000,None,5722000000,None,2128000000
2017-06-30,USD,1922000000,3970000000,None,1688000000,18006000000,29000000,683000000,None,472000000,1831000000,-5133000000,3719000000,None,1466000000,1466000000,None,510000000,510000000,None,None,None,0,-1466000000,None,-12147000000,None,1831000000
2017-03-31,USD,-15928000000,2310000000,None,-1216000000,13634000000,41000000,838000000,None,None,2255000000,-1573000000,6261000000,None,1503000000,1503000000,None,366000000,366000000,None,None,None,0,-1503000000,None,1324000000,None,2255000000
2016-12-31,USD,-4739000000,1740000000,None,1989000000,-9867000000,46000000,813000000,None,15253000000,2347000000,-1627000000,748000000,None,1488000000,1488000000,None,468000000,468000000,None,None,None,0,-1488000000,None,3708000000,None,2347000000
2016-09-30,USD,2094000000,1930000000,None,-7795000000,12398000000,37000000,821000000,None,5386000000,2094000000,-1513000000,1655000000,None,1296000000,1296000000,None,378000000,378000000,None,None,None,648000000,-648000000,None,-4513000000,None,2094000000
2016-06-30,USD,1822000000,1220000000,None,-3931000000,-8185000000,32000000,669000000,None,17784000000,1822000000,15955000000,-1436000000,None,1738000000,1738000000,None,473000000,473000000,None,None,None,0,-1738000000,None,24565000000,None,1822000000
2016-03-31,USD,17077000000,2250000000,None,11697000000,-9599000000,47000000,573000000,None,9599000000,1135000000,-3140000000,11136000000,None,1556000000,1556000000,None,387000000,387000000,None,None,None,655000000,-901000000,None,4512000000,None,1135000000
2015-12-31,USD,-54196000000,730000000,None,-10082000000,3894000000,34000000,628000000,None,14472000000,-39858000000,-3827000000,6562000000,None,1590000000,1590000000,None,484000000,484000000,None,None,None,0,-1590000000,None,10439000000,None,765000000
2015-09-30,USD,1426000000,1580000000,None,1026000000,-11226000000,28000000,507000000,None,18366000000,1426000000,-3331000000,6763000000,None,1050000000,1050000000,None,393000000,393000000,None,None,None,0,-1050000000,None,4730000000,None,1426000000
2015-06-30,USD,1048000000,740000000,None,-8505000000,-20406000000,27000000,396000000,None,7140000000,1048000000,-7153000000,12720000000,None,245000000,245000000,None,431000000,431000000,None,None,None,0,1748000000,None,-2284000000,None,1048000000
2015-03-31,USD,-10145000000,1770000000,None,726000000,13266000000,43000000,302000000,5733000000,None,2844000000,-4263000000,3073000000,None,1250000000,1250000000,None,373000000,373000000,None,None,None,0,-1250000000,None,5529000000,None,2844000000
2014-12-31,USD,17576000000,980000000,None,None,-14319000000,40000000,170000000,12328000000,27547000000,2166000000,-4318000000,2800000000,None,1250000000,1250000000,None,409000000,409000000,None,None,None,0,-1250000000,None,3141000000,None,2166000000
2014-09-30,USD,2241000000,2190000000,None,None,-17759000000,91000000,155000000,None,13228000000,2241000000,-8906000000,9844000000,None,1250000000,1250000000,None,354000000,354000000,None,None,None,0,-1250000000,None,-2833000000,None,2241000000
2014-06-30,USD,2037000000,1000000000,None,None,11176000000,38000000,189000000,None,None,2037000000,-1523000000,1206000000,None,1250000000,1250000000,None,343000000,343000000,None,None,None,0,730000000,None,-1875000000,None,2037000000
2014-03-31,USD,-4221000000,2260000000,None,None,-6645000000,48000000,164000000,None,6645000000,2033000000,-162000000,5149000000,None,1719000000,1719000000,None,348000000,348000000,None,None,None,0,-1719000000,None,-2275000000,None,2033000000
2013-12-31,USD,2280000000,1010000000,None,None,14441000000,86000000,208000000,None,51079000000,2332000000,-548000000,-3712000000,None,1400000000,1400000000,None,346000000,346000000,None,None,None,0,-1400000000,None,-4345000000,None,2332000000
