fiscalDateEnding,reportedCurrency,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,changeInCashAndCashEquivalents,changeInExchangeRate,netIncome
2024-12-31,USD,22291000000,1281000000,None,-4842000000,6709000000,2330000000,15804000000,5978000000,-711000000,24108000000,-14112000000,-11243000000,0,4986000000,4986000000,None,6170000000,6170000000,None,256000000,None,None,-4730000000,None,None,None,24108000000
2024-09-30,USD,34180000000,1482000000,None,-10965000000,-11821000000,2096000000,14923000000,-14037000000,373000000,24667000000,-15201000000,-16576000000,-5746000000,4107000000,4107000000,None,5574000000,5574000000,None,706000000,None,None,-3401000000,None,None,None,24667000000
2024-03-31,USD,31917000000,1026000000,None,5476000000,2954000000,1853000000,10952000000,2028000000,-260000000,21939000000,-10700000000,-18808000000,-3810000000,4213000000,4213000000,None,5572000000,5572000000,None,522000000,None,None,-3691000000,None,None,None,21939000000
2023-12-31,USD,18853000000,971000000,None,-8121000000,2179000000,1708000000,9735000000,2951000000,-1474000000,21870000000,-71925000000,-10147000000,-8490000000,4000000000,4000000000,None,5574000000,5574000000,None,261000000,None,None,-3739000000,None,None,None,21870000000
2023-09-30,USD,30583000000,944000000,None,-5302000000,-7720000000,1016000000,9917000000,-11034000000,505000000,22291000000,503000000,14761000000,18692000000,4831000000,4831000000,None,5051000000,5051000000,None,685000000,None,None,-4146000000,None,None,None,22291000000
2023-06-30,USD,28770000000,854000000,None,19080000000,14837000000,11958000000,8943000000,11244000000,-374000000,20081000000,-9134000000,-11413000000,0,5704000000,5704000000,None,5054000000,5054000000,None,512000000,None,None,-5192000000,None,None,None,20081000000
2023-03-31,USD,24441000000,822000000,None,2547000000,704000000,960000000,6607000000,1408000000,-106000000,18299000000,-3264000000,-10290000000,0,5509000000,5509000000,None,5059000000,5059000000,None,536000000,None,None,-4973000000,None,10887000000,None,18299000000
2022-12-31,USD,11173000000,764000000,None,-8031000000,2316000000,1089000000,6274000000,3164000000,-1305000000,16425000000,-7150000000,-11349000000,0,5459000000,5459000000,None,5066000000,5066000000,None,243000000,None,None,-5216000000,None,-7326000000,None,16425000000
2022-09-30,USD,23198000000,767000000,None,-8315000000,-10188000000,822000000,6283000000,-11729000000,543000000,17556000000,-3132000000,-10883000000,0,5573000000,5573000000,None,4621000000,4621000000,None,575000000,None,None,-4998000000,None,9183000000,None,17556000000
2022-06-30,USD,24629000000,744000000,None,17713000000,16240000000,13401000000,6871000000,12634000000,461000000,16740000000,-9729000000,-13269000000,0,8757000000,8757000000,None,4632000000,4632000000,None,461000000,None,None,-8296000000,None,1574000000,None,16740000000
