fiscalDateEnding,reportedCurrency,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,changeInCashAndCashEquivalents,changeInExchangeRate,netIncome
2024-10-27,USD,17627000000,81000000,None,1954000000,5252000000,478000000,813000000,3561000000,977000000,19309000000,-4346000000,-12745000000,None,10997000000,10997000000,None,245000000,245000000,None,None,None,None,-10793000000,None,None,None,19309000000
2024-07-28,USD,14488000000,77000000,None,1084000000,1856000000,433000000,977000000,1767000000,803000000,16599000000,-3184000000,-10320000000,None,7158000000,7158000000,None,246000000,246000000,None,None,None,None,-7158000000,None,None,None,16599000000
2024-04-28,USD,15345000000,69000000,None,301000000,3669000000,410000000,369000000,2366000000,577000000,14881000000,-5693000000,-9345000000,None,7740000000,7740000000,None,98000000,98000000,None,None,None,None,-7455000000,None,None,None,14881000000
2024-01-28,USD,11499000000,338000000,None,587000000,3378000000,387000000,254000000,1690000000,503000000,12285000000,-6109000000,-3629000000,None,2659000000,2659000000,None,99000000,99000000,None,None,None,None,-2256000000,None,None,None,12285000000
2023-10-29,USD,7332000000,65000000,None,433000000,1444000000,372000000,278000000,1243000000,456000000,9242000000,-3170000000,-4525000000,None,3807000000,3807000000,None,99000000,98000000,None,0,0,0,-3807000000,None,None,None,9243000000
2023-07-30,USD,6348000000,74000000,None,909000000,3069000000,365000000,289000000,2987000000,-295000000,6188000000,-446000000,-5099000000,None,3067000000,3067000000,None,99000000,99000000,None,0,0,0,0,None,803000000,None,6188000000
2023-04-30,USD,2911000000,61000000,None,116000000,-99000000,384000000,248000000,252000000,-566000000,2043000000,-841000000,-380000000,None,0,0,None,99000000,99000000,None,0,0,0,0,None,1690000000,None,2043000000
2023-01-29,USD,2248000000,304000000,None,-43000000,-164000000,426000000,509000000,-1080000000,706000000,1414000000,-3000000,-1656000000,None,1213000000,1213000000,None,98000000,98000000,None,None,None,None,-1213000000,None,None,None,1414000000
2022-10-30,USD,392000000,43000000,None,-875000000,-94000000,406000000,530000000,-410000000,563000000,680000000,3148000000,-3753000000,None,3485000000,3485000000,None,100000000,100000000,None,None,None,None,-3485000000,None,None,None,680000000
2022-07-31,USD,1270000000,46000000,None,294000000,898000000,378000000,433000000,-120000000,725000000,656000000,1618000000,-3762000000,None,3345000000,3345000000,None,100000000,100000000,None,0,0,0,-3345000000,None,None,None,656000000
2022-05-01,USD,1731000000,45000000,None,325000000,2609000000,334000000,361000000,788000000,560000000,1618000000,2612000000,-2446000000,None,1996000000,1996000000,None,100000000,100000000,None,None,None,None,-1996000000,None,1897000000,None,1618000000
2022-01-30,USD,3033000000,286000000,None,33000000,1224000000,309000000,273000000,692000000,374000000,3003000000,-1586000000,-745000000,None,0,0,None,101000000,100000000,None,None,None,None,-622000000,None,702000000,None,3003000000
2021-10-31,USD,1519000000,39000000,None,384000000,2059000000,298000000,222000000,366000000,118000000,2464000000,-4439000000,-1420000000,None,0,0,None,100000000,100000000,None,0,0,0,0,None,2923000000,None,2464000000
2021-08-01,USD,2682000000,36000000,None,260000000,669000000,286000000,183000000,562000000,123000000,252000000,-2533000000,4501000000,None,0,0,None,100000000,100000000,None,None,None,None,-366000000,None,252000000,None,2374000000
2021-05-02,USD,1874000000,39000000,None,83000000,752000000,281000000,298000000,595000000,159000000,1912000000,-1272000000,-471000000,None,0,0,None,99000000,99000000,None,None,None,None,-477000000,None,131000000,None,1912000000
2021-01-31,USD,2067000000,176000000,None,163000000,202000000,288000000,283000000,-117000000,334000000,1457000000,-3129000000,-342000000,None,0,0,None,99000000,99000000,None,0,0,0,0,None,-1404000000,None,1457000000
2020-10-25,USD,1279000000,53000000,None,279000000,998000000,519000000,473000000,462000000,93000000,1336000000,-2001000000,-301000000,None,None,None,None,99000000,99000000,None,None,None,None,-298000000,None,1620000000,None,1336000000
2020-07-26,USD,1567000000,66000000,None,3000000,-140000000,284000000,217000000,-44000000,-54000000,622000000,-13490000000,-297000000,None,None,None,None,99000000,99000000,None,None,None,None,-196000000,None,831000000,None,622000000
2020-04-26,USD,909000000,31000000,None,81000000,408000000,7000000,155000000,249000000,151000000,917000000,-1055000000,4744000000,None,None,None,None,98000000,98000000,None,None,None,None,-222000000,None,4598000000,None,917000000
2020-01-26,USD,1465000000,79000000,None,234000000,113000000,362000000,144000000,201000000,-66000000,2015000000,-151000000,-183000000,None,0,0,None,98000000,98000000,None,None,0,None,-88000000,None,2015000000,None,950000000
2019-10-27,USD,1640000000,28000000,None,112000000,-277000000,6000000,103000000,-105000000,-153000000,899000000,1256000000,-236000000,None,0,0,None,98000000,97000000,None,None,None,None,-202000000,None,996000000,None,899000000
2019-07-28,USD,936000000,26000000,None,128000000,63000000,6000000,113000000,319000000,-225000000,552000000,3545000000,-148000000,None,0,0,None,97000000,98000000,None,None,None,None,-50000000,None,653000000,None,552000000
2019-04-28,USD,720000000,None,None,-252000000,-340000000,7000000,128000000,-182000000,-153000000,394000000,1495000000,-225000000,None,0,0,None,97000000,97000000,None,None,None,None,-211000000,None,1990000000,None,394000000
2019-01-27,USD,898000000,None,None,-160000000,-651000000,238000000,203000000,-794000000,156000000,1207000000,40000000,-877000000,None,724000000,724000000,None,98000000,98000000,None,None,0,None,-724000000,None,61000000,None,567000000
2018-10-28,USD,487000000,None,None,103000000,906000000,7000000,150000000,557000000,325000000,1230000000,219000000,-703000000,None,200000000,200000000,None,91000000,91000000,None,None,None,None,-200000000,None,3000000,None,1230000000
2018-07-29,USD,913000000,None,None,327000000,741000000,6000000,129000000,442000000,293000000,1101000000,-805000000,-155000000,None,0,0,None,91000000,91000000,None,None,None,None,0,None,-47000000,None,1101000000
2018-04-29,USD,1445000000,2000000,None,-59000000,-16000000,11000000,118000000,-56000000,2000000,1244000000,-3551000000,-1131000000,None,655000000,655000000,None,91000000,91000000,None,None,None,None,-655000000,None,-3237000000,None,1244000000
2018-01-28,USD,1358000000,50000000,None,559000000,-10000000,157000000,416000000,98000000,-61000000,1801000000,-24000000,-134000000,None,0,0,None,91000000,91000000,None,None,0,None,0,None,1200000000,None,1118000000
2017-10-29,USD,1157000000,0,None,66000000,-34000000,13000000,69000000,-45000000,0,838000000,286000000,-629000000,None,151000000,151000000,None,84000000,84000000,None,None,None,None,-151000000,None,814000000,None,838000000
2017-07-30,USD,705000000,0,None,166000000,284000000,15000000,54000000,237000000,34000000,583000000,262000000,-968000000,None,758000000,758000000,None,84000000,84000000,None,None,None,None,0,None,-1000000,None,583000000
2017-04-30,USD,282000000,2000000,None,-220000000,179000000,16000000,54000000,150000000,27000000,507000000,754000000,-813000000,None,0,0,None,82000000,82000000,None,0,0,0,0,None,223000000,None,507000000
2017-01-29,USD,721000000,12000000,None,88000000,97000000,137000000,51000000,-7000000,114000000,1303000000,-373000000,-522000000,None,230000000,230000000,None,76000000,76000000,None,None,0,None,-210000000,None,-174000000,None,655000000
2016-10-30,USD,432000000,0,None,36000000,358000000,23000000,38000000,190000000,157000000,542000000,-327000000,1409000000,None,0,0,None,61000000,61000000,None,None,None,None,-29000000,None,1514000000,None,542000000
2016-07-31,USD,201000000,0,None,21000000,247000000,25000000,32000000,121000000,127000000,253000000,-269000000,-52000000,None,9000000,9000000,None,62000000,62000000,None,20000000,0,0,31000000,None,-121000000,None,261000000
2016-05-01,USD,319000000,16000000,None,25000000,12000000,25000000,55000000,17000000,-23000000,-33000000,176000000,-544000000,None,500000000,500000000,None,62000000,62000000,None,20000000,None,None,-500000000,None,-49000000,None,208000000
2016-01-31,USD,511000000,39000000,None,-74000000,-47000000,148000000,15000000,-31000000,-7000000,791000000,-213000000,-173000000,None,135000000,135000000,None,61000000,61000000,None,0,0,0,-114000000,None,125000000,None,207000000
2015-10-25,USD,255000000,7000000,None,-81000000,17000000,25000000,17000000,22000000,-17000000,246000000,-199000000,-20000000,None,0,0,None,53000000,53000000,None,35000000,None,None,35000000,None,36000000,None,247000000
