totalAssets,totalCurrentAssets,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,inventory,currentNetReceivables,totalNonCurrentAssets,propertyPlantEquipment,accumulatedDepreciationAmortizationPPE,otherCurrentAssets,otherNonCurrentAssets,totalLiabilities,totalCurrentLiabilities,currentAccountsPayable,totalNonCurrentLiabilities,otherCurrentLiabilities,otherNonCurrentLiabilities,totalShareholderEquity,retainedEarnings,commonStock,commonStockSharesOutstanding,date,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,operatingExpenses,netInterestIncome,interestExpense,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome,operatingCashflow,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,changeInCashAndCashEquivalents
5536300000,4883900000,4193100000,4204200000,560000000,59700000,672800000,78900000,846000000,60000000,65100000,1152900000,783500000,220500000,369400000,203600000,21100000,4383400000,-230300000,200000,426500000,2024-08-03,248800000,798300000,549500000,549500000,-22000000,270800000,270800000,39500000,11600000.0,7600000,17500000,2700000,14800000,14900000,-22000000,-14400000,14800000,68600000,-64600000,-105800000,7600000,3100000,-500000,-115900000,14800000,78400000,3052900000,-164000000.0
2587100000,1879700000,999900000,1082900000,675800000,58900000,721500000,82400000,843600000,62100000,65500000,1279800000,848300000,282700000,431500000,377100000,31300000,1307400000,-245100000,100000,306200000,2024-05-04,244500000,881800000,637300000,637300000,-50600000,295100000,312200000,14900000,11600000.0,16800000,-35700000,-3400000,-32300000,-31800000,-50600000,-33800000,-32300000,-109800000,-89300000,1300000,16800000,4900000,-33400000,43200000,-32300000,189800000,-2700000,-164000000.0
2709000000,1974200000,921700000,1199300000,632500000,91000000,662700000,94900000,851200000,51400000,66800000,1370400000,934500000,324000000,435900000,199500000,31600000,1338600000,-212800000,100000,305700000,2024-02-03,419200000,1793600000,1374400000,1374400000,55200000,359200000,389100000,15300000,11600000.0,18600000,71000000,7900000,63100000,68400000,55200000,73800000,63100000,-11000000,-512700000,-400900000,74800000,7700000,700000,-397000000,63100000,20600000,-3500000,-164000000.0
3146900000,2376800000,909000000,1209500000,1021300000,88300000,785200000,114500000,973000000,57700000,68600000,1884100000,1437800000,812700000,446300000,236800000,31500000,1262800000,-275900000,100000,305500000,2023-10-28,281800000,1078300000,796500000,796500000,-14700000,296500000,296500000,12900000,11600000.0,11300000,-4300000,-1200000,-3100000,-10800000,-14700000,-3400000,-3100000,19100000,380900000,369100000,11300000,8000000,13300000,357500000,-3100000,5100000,-2600000,-164000000.0
2803700000,2005200000,894700000,1194700000,676900000,75600000,813900000,119300000,983000000,58000000,78600000,1536500000,1071400000,378000000,465100000,487500000,35800000,1267200000,-272800000,100000,305200000,2023-07-29,305900000,1163800000,857900000,857900000,-16600000,322500000,322500000,11600000,11600000.0,12600000,-3000000,-200000,-2800000,-4100000,-16600000,-4000000,-2800000,-109100000,-246500000,-134900000,12600000,10100000,-43400000,-83500000,-2800000,-52200000,-2700000,-164000000.0
3070200000,2254600000,1057000000,1310100000,759500000,119200000,830900000,123600000,988300000,65800000,78700000,1798600000,1319500000,561400000,479100000,546400000,40300000,1271600000,-270000000,100000,304700000,2023-04-29,287300000,1237100000,949800000,949800000,-58400000,345700000,360000000,9700000,9700000.0,13700000,-50600000,-100000,-50500000,-58500000,-58400000,-44700000,-50500000,-102700000,-22300000,51500000,13700000,9100000,-35600000,83100000,-50500000,-6700000,-2800000,-112200000.0
3113400000,2323700000,1139000000,1390600000,682900000,153900000,718700000,136500000,1006800000,96300000,74100000,1791100000,1339100000,531300000,452000000,198200000,40900000,1322300000,-219500000,100000,304600000,2023-01-28,499800000,2226400000,1726600000,1726600000,46200000,453400000,469800000,6200000,6200000.0,14200000,52400000,4200000,48200000,70100000,46200000,60400000,48200000,338200000,-353700000,-455400000,75900000,11600000,30100000,-474600000,48200000,-19100000,-4600000,314500000.0
3322500000,2581800000,803800000,1042100000,1131300000,125300000,755500000,138500000,981400000,283100000,64700000,2077500000,1588700000,888400000,488800000,489900000,110400000,1245000000,-267700000,100000,304300000,2022-10-29,291600000,1186400000,894800000,894800000,-96300000,387900000,387900000,3700000,3700000.0,15100000,-92600000,2100000,-94700000,-111500000,-96300000,-81200000,-94700000,177300000,672000000,451900000,15100000,13000000,26000000,414600000,-94700000,-249600000,-300000,-72600000.0
2799500000,2019200000,908900000,908900000,734800000,99600000,795300000,146800000,990100000,275900000,62500000,1456000000,932400000,217400000,523600000,512100000,124100000,1343500000,-173000000,100000,304000000,2022-07-30,282200000,1136000000,853800000,853800000,-107800000,387500000,387500000,300000,300000.0,15300000,-107500000,1200000,-108700000,-113100000,-107800000,-92500000,-108700000,-103400000,-204700000,-185400000,15300000,20500000,-3000000,-179500000,-108700000,-20100000,-1900000,-125400000.0
3125500000,2329600000,1035000000,1035000000,917600000,103400000,795900000,157400000,993600000,240300000,53100000,1674800000,1126900000,386800000,547900000,533300000,137700000,1450700000,-64300000,100000,75900000,2022-04-30,298500000,1378400000,1079900000,1079900000,-153700000,452200000,462800000,-700000,700000.0,17100000,-154400000,3500000,-157900000,-161800000,-153700000,-136600000,-157900000,-303900000,-179800000,3900000,17100000,10800000,-36300000,9900000,-157900000,66100000,-1100000,-238900000.0
