totalAssets,totalCurrentAssets,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,totalNonCurrentAssets,propertyPlantEquipment,accumulatedDepreciationAmortizationPPE,intangibleAssets,intangibleAssetsExcludingGoodwill,goodwill,investments,longTermInvestments,shortTermInvestments,totalLiabilities,totalCurrentLiabilities,currentDebt,shortTermDebt,totalNonCurrentLiabilities,longTermDebt,currentLongTermDebt,longTermDebtNoncurrent,shortLongTermDebtTotal,otherCurrentLiabilities,totalShareholderEquity,treasuryStock,retainedEarnings,commonStock,commonStockSharesOutstanding,date,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,operatingExpenses,netInterestIncome,interestIncome,interestExpense,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome,operatingCashflow,paymentsForOperatingActivities,depreciationDepletionAndAmortization,capitalExpenditures,profitLoss,cashflowFromInvestment,cashflowFromFinancing,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,dividendPayout,dividendPayoutCommonStock,proceedsFromRepurchaseOfEquity,changeInCashAndCashEquivalents
1728080000000,168688000000,154689000000,168688000000,160200000000,8504000000,14330000000,6834000000,925000000,5909000000,183660000000,139740000000,13999000000,1606880000000,176039000000,113922000000,75371000000,260324000000,250250000000,38551000000,96223000000,325621000000,-2667000000,121200000000,106475000000,150454000000,9000000,314190854,2024-09-30,8461000000,31524000000,8712000000,4364000000,6541000000,1299000000,1920000000,2623000000,21448000000,18825000000,621000000,3987000000,997000000,2990000000,3387000000,22812000000,23433000000,2990000000,-38060000000,18860000000,95000000,466000000,2990000000,-29286000000,10340000000,1000000000,1000000000,1169000000,1169000000,995000000,41828000000.0
1653313000000,220383000000,206326000000,220383000000,158175000000,9729000000,14020000000,6885000000,992000000,5893000000,160924000000,136440000000,14057000000,1533850000000,184971000000,121036000000,76769000000,245265000000,234632000000,44267000000,88360000000,311401000000,585675000000,119463000000,105459000000,148652000000,9000000,316162882,2024-06-30,8810000000,30929000000,8815000000,4484000000,6874000000,1290000000,1936000000,2242000000,20440000000,18198000000,646000000,3916000000,873000000,3043000000,3460000000,22114000000,22760000000,3043000000,6120000000,17994000000,33000000,542000000,3043000000,-5243000000,-2371000000,3500000000,4200000000,1052000000,1052000000,-1956000000,41828000000.0
1698440000000,223068000000,209385000000,223068000000,159683000000,10514000000,13890000000,6918000000,1021000000,5897000000,154900000000,136890000000,13683000000,1579894000000,188740000000,122479000000,78603000000,243085000000,233919000000,43876000000,87142000000,312522000000,651093000000,118546000000,101917000000,146690000000,9000000,324014481,2024-03-31,9928000000,32160000000,8976000000,4832000000,8047000000,1254000000,1881000000,1608000000,19555000000,17947000000,627000000,5237000000,1105000000,4132000000,3733000000,23184000000,23811000000,4132000000,-28038000000,16905000000,26000000,497000000,4132000000,-7980000000,7171000000,1500000000,1500000000,1123000000,1123000000,-1500000000,41828000000.0
1641594000000,255324000000,241577000000,255324000000,155388000000,11244000000,13640000000,7093000000,1177000000,5916000000,146839000000,133750000000,13747000000,1524689000000,185789000000,125306000000,75945000000,247867000000,241877000000,49361000000,86410000000,317822000000,875887000000,116905000000,100445000000,143688000000,9000000,323376354,2023-12-31,6247000000,28463000000,9064000000,3870000000,4050000000,1417000000,2197000000,1339000000,18484000000,17145000000,780000000,2254000000,246000000,2008000000,1689000000,19399000000,20179000000,2008000000,-28358000000,16840000000,27000000,546000000,2008000000,-3342000000,28016000000,1000000000,1000000000,1065000000,1065000000,-1000000000,41828000000.0
1577153000000,253621000000,239879000000,253621000000,157577000000,13138000000,13820000000,7254000000,1341000000,5913000000,145530000000,133600000000,13742000000,1459876000000,331581000000,276655000000,229279000000,230070000000,289341000000,47376000000,73916000000,294033000000,-323000000000,117277000000,99429000000,142743000000,9000000,326604718,2023-09-30,7517000000,28527000000,9061000000,4455000000,4757000000,1248000000,2760000000,1547000000,18257000000,16710000000,1512000000,2756000000,698000000,2058000000,2696000000,19466000000,20978000000,2058000000,-25534000000,15609000000,554000000,507000000,2058000000,-8033000000,6442000000,1500000000,2500000000,1099000000,1099000000,-1004000000,41828000000.0
1571386000000,284689000000,270931000000,284689000000,129655000000,-13650000000,13650000000,7863000000,1921000000,5942000000,137571000000,133310000000,13758000000,1454893000000,319536000000,271533000000,225770000000,236915000000,295484000000,45763000000,74312000000,300869000000,-328000000000,116493000000,97917000000,141798000000,9000000,330811807,2023-06-30,5444000000,26047000000,9159000000,3872000000,2577000000,1273000000,2867000000,1684000000,16836000000,15152000000,1594000000,1736000000,520000000,1216000000,580000000,16888000000,18482000000,1216000000,31901000000,14495000000,48000000,666000000,1216000000,-3959000000,13886000000,750000000,750000000,1012000000,1012000000,-750000000,41828000000.0
1538349000000,243926000000,229327000000,243926000000,133002000000,-12880000000,12880000000,8404000000,1965000000,6439000000,131790000000,135330000000,14599000000,1420840000000,286645000000,240326000000,203257000000,247826000000,298205000000,37069000000,74888000000,305397000000,-331000000000,117509000000,97159000000,141591000000,9000000,332884318,2023-03-31,8232000000,25381000000,8231000000,4355000000,5976000000,1286000000,2256000000,1781000000,14938000000,13157000000,970000000,3993000000,759000000,3234000000,3643000000,17150000000,18120000000,3234000000,9404000000,13082000000,52000000,597000000,3234000000,-1978000000,-20544000000,2546000000,2546000000,1013000000,1013000000,-2546000000,-13118000000.0
1441799000000,256717000000,241825000000,256717000000,132955000000,17074000000,12190000000,8383000000,2009000000,6374000000,130629000000,134590000000,14892000000,1324610000000,183654000000,152927000000,60961000000,254245000000,247138000000,38635000000,73147000000,308099000000,6845000000,117189000000,94631000000,139372000000,9000000,334918639,2022-12-31,3903000000,20930000000,9063000000,16174000000,1723000000,1453000000,2180000000,2074000000,12411000000,10337000000,727000000,1530000000,204000000,1326000000,188000000,11867000000,12594000000,1326000000,-33162000000,9140000000,50000000,754000000,1326000000,-6292000000,-9576000000,1500000000,1500000000,1013000000,1013000000,-1500000000,-30865000000.0
1555994000000,299610000000,284251000000,299610000000,130438000000,-11870000000,11870000000,8251000000,1963000000,6288000000,126963000000,131990000000,15359000000,1436704000000,239040000000,195218000000,166912000000,247641000000,288744000000,28306000000,65358000000,291815000000,7226000000,119290000000,93127000000,139067000000,9000000,339103013,2022-09-30,5738000000,18482000000,8219000000,3861000000,3694000000,1378000000,2044000000,2043000000,8550000000,6507000000,666000000,3756000000,687000000,3069000000,3151000000,10263000000,10929000000,3069000000,16010000000,6144000000,54000000,990000000,3069000000,-14159000000,1621000000,1000000000,1000000000,997000000,997000000,-1000000000,-4355000000.0
1601224000000,303755000000,288606000000,303755000000,126708000000,-11550000000,11550000000,8210000000,2014000000,6196000000,114775000000,127880000000,15149000000,1483353000000,249848000000,211594000000,185302000000,258966000000,299274000000,26292000000,62238000000,308059000000,-332102000000,117871000000,92123000000,136998000000,9000000,341963005,2022-06-30,4651000000,14981000000,8320000000,3954000000,2653000000,1428000000,1998000000,1734000000,4851000000,3117000000,570000000,3544000000,617000000,2927000000,3657000000,6661000000,7231000000,2927000000,45394000000,2439000000,51000000,1051000000,2927000000,-38488000000,14456000000,500000000,500000000,857000000,857000000,-500000000,14442000000.0
