Surprise(%),commonStockSharesOutstanding,otherCurrentAssets,changeInOperatingLiabilities,changeInReceivables,comprehensiveIncomeNetOfTax,totalShareholderEquity,interestExpense,netIncomeFromContinuingOperations,changeInOperatingAssets,sellingGeneralAndAdministrative,totalLiabilities,operatingExpenses,otherNonCurrentAssets,costofGoodsAndServicesSold,Shift_Reported_EPS
-33.33,306200000,62100000,-89300000,-33400000,-31800000,1307400000,11600000.0,-32300000,1300000,295100000,1279800000,312200000,65500000,637300000,0.01
-25.42,305700000,51400000,-512700000,700000,68400000,1338600000,11600000.0,63100000,-400900000,359200000,1370400000,389100000,66800000,1374400000,-0.12
100.0,305500000,57700000,380900000,13300000,-10800000,1262800000,11600000.0,-3100000,369100000,296500000,1884100000,296500000,68600000,796500000,0.22
78.77,305200000,58000000,-246500000,-43400000,-4100000,1267200000,11600000.0,-2800000,-134900000,322500000,1536500000,322500000,78600000,857900000,0.22
-16.67,304700000,65800000,-22300000,-35600000,-58500000,1271600000,9700000.0,-50500000,51500000,345700000,1798600000,360000000,78700000,949800000,-0.03
220.3,304600000,96300000,-353700000,30100000,70100000,1322300000,6200000.0,48200000,-455400000,453400000,1791100000,469800000,74100000,1726600000,-0.14
-12.05,304300000,283100000,672000000,26000000,-111500000,1245000000,3700000.0,-94700000,451900000,387900000,2077500000,387900000,64700000,894800000,0.16
7.28,304000000,275900000,-204700000,-3000000,-113100000,1343500000,300000.0,-108700000,-185400000,387500000,1456000000,387500000,62500000,853800000,-0.31
-43.45,75900000,240300000,-179800000,-36300000,-161800000,1450700000,700000.0,-157900000,3900000,452200000,1674800000,462800000,53100000,1079900000,-0.35
-322.08,75900000,238200000,-151000000,59400000,-162000000,1602500000,700000.0,-147500000,-138500000,538900000,1896800000,568300000,134000000,1875700000,-0.52
-168.61,75900000,236300000,351800000,15200000,-103300000,1754900000,800000.0,-105400000,562700000,421500000,2007100000,421500000,53500000,978000000,-0.46
-14.29,75900000,235000000,36600000,-33100000,-70700000,1852000000,600000.0,-61600000,-800000,378900000,1693800000,378900000,57000000,862500000,-0.35
46.11,69300000,232100000,-11500000,-3100000,-64700000,879500000,24700000.0,-66800000,-32600000,370300000,1683200000,390000000,40000000,946700000,-0.19
-1.1,65300000,224900000,-159600000,26000000,98600000,436700000,6600000.0,80300000,-336400000,419100000,2035900000,448700000,41600000,1673500000,-0.11
37.55,65200000,126700000,272500000,-5300000,-22300000,332200000,10000000.0,-18800000,381900000,360400000,2269200000,339300000,44600000,728400000,0.34
-23.39,65200000,87100000,79800000,-6100000,-84300000,352300000,7900000.0,-111000000,-200200000,348200000,2022900000,337800000,44900000,689800000,-0.13
-27.2,64600000,108200000,-274300000,-54400000,-177800000,435000000,7600000.0,-165100000,-256200000,386500000,2034000000,412200000,43800000,738600000,-0.35
61.39,64300000,120900000,-304500000,4200000,13700000,611500000,-3400000.0,24900000,-494200000,511700000,2208200000,10400000,46300000,1596800000,-0.4
-557.09,67900000,127600000,350900000,15200000,-79800000,617100000,8000000.0,-83200000,350600000,475400000,2528500000,11300000,65700000,997400000,0.32
-51.43,90500000,143200000,-52200000,-1600000,-422200000,809700000,9600000.0,-413600000,-171500000,481900000,2178200000,363900000,80800000,886600000,-0.12
350.0,102300000,101800000,-787000000,-6900000,-7100000,1291700000,13000000.0,7500000,-100100000,453700000,2341600000,477700000,81700000,9600000,-0.08
1.47,102000000,118600000,-385700000,54900000,-188000000,1336200000,14100000.0,-268500000,-685300000,633000000,2708100000,428400000,84100000,2314200000,0.02
18.1,102000000,157700000,948600000,-10800000,-502200000,1565100000,14100000.0,-506900000,778300000,463600000,3091600000,587500000,103800000,16800000,0.4
-35.13,101900000,168400000,96800000,14600000,-42300000,2104200000,14400000.0,-39800000,-22200000,441500000,2178200000,468500000,140300000,9000000,0.17
1.6,101900000,141900000,-680800000,-24300000,-7000000,2183500000,14200000.0,20400000,-51200000,456100000,2124900000,485000000,151700000,16600000,0.01
2.54,101300000,124900000,-356900000,-15300000,-69400000,2214500000,14200000.0,116900000,-486700000,360900000,2827100000,13800000,71000000,2414800000,0.1
1.28,101300000,198000000,906800000,10800000,36200000,2313700000,14100000.0,49700000,712300000,565100000,3160300000,601800000,70700000,1299200000,0.51
-5.85,101300000,202500000,-77800000,17500000,76600000,2311700000,14400000.0,12000000,-80100000,542400000,2298100000,580100000,78500000,1063900000,0.11
23.67,101300000,145700000,-317100000,-48700000,50800000,2268900000,14100000.0,51800000,76300000,563500000,2414500000,603700000,72000000,1343400000,0.04
3.97,101000000,128900000,-394100000,40300000,207100000,2254100000,14100000.0,160000000,-463100000,255600000,2721800000,33800000,72800000,2037500000,0.16
4.21,102600000,188000000,1052600000,55000000,43900000,2124100000,14800000.0,50800000,610400000,567100000,3106500000,609400000,75200000,1251000000,0.6
1.15,104000000,175300000,-240700000,-12000000,28700000,2151000000,13900000.0,27900000,-164200000,518400000,1982600000,559400000,69600000,1014100000,0.12
6.75,104000000,160400000,-352000000,-39400000,115000000,2156100000,11000000.0,65800000,57500000,520800000,2289900000,563400000,61400000,1296000000,0.07
