Surprise(%),shortTermInvestments,longTermInvestments,otherNonCurrentLiabilities,investments,profitLoss,paymentsForOperatingActivities,costofGoodsAndServicesSold,changeInInventory,currentDebt,cashflowFromInvestment,sellingGeneralAndAdministrative,incomeTaxExpense,operatingCashflow,Shift_Reported_EPS
6.52,57588000000,15778000000,31165000000,75379000000,24667000000,1482000000,20099000000,373000000,2249000000,-15201000000,7390000000,5602000000,34180000000,3.23
4.32,60387000000,14807000000,23271000000,69791000000,21939000000,1026000000,18505000000,-260000000,22749000000,-10700000000,8119000000,4788000000,31917000000,3.3
5.34,63712000000,13367000000,20787000000,71482000000,21870000000,971000000,19623000000,-1474000000,29291000000,-71925000000,8223000000,4656000000,18853000000,2.94
12.7,63499000000,11423000000,18634000000,68750000000,22291000000,944000000,16302000000,505000000,29556000000,503000000,6661000000,4993000000,30583000000,2.93
5.49,76558000000,9879000000,17981000000,95599000000,20081000000,854000000,16795000000,-374000000,5247000000,-9134000000,8401000000,4646000000,28770000000,2.99
9.81,77865000000,9415000000,17437000000,95186000000,18299000000,822000000,16128000000,-106000000,6245000000,-3264000000,7393000000,4374000000,24441000000,2.69
1.09,83862000000,7097000000,16479000000,91155000000,16425000000,764000000,17488000000,-1305000000,3997000000,-7150000000,8016000000,3914000000,11173000000,2.45
2.05,84378000000,6839000000,15311000000,99146000000,17556000000,767000000,15452000000,543000000,3248000000,-3132000000,6524000000,4016000000,23198000000,2.32
-2.74,90826000000,6891000000,15526000000,95583000000,16740000000,744000000,16429000000,461000000,2749000000,-9729000000,8053000000,3747000000,24629000000,2.35
1.6,92195000000,6907000000,15154000000,96125000000,16728000000,835000000,15615000000,279000000,1749000000,-16171000000,7075000000,3462000000,25386000000,2.23
7.25,104765000000,6994000000,14747000000,118260000000,18765000000,548000000,16960000000,-394000000,4998000000,-1161000000,6763000000,3750000000,14480000000,2.22
9.41,111450000000,6393000000,14346000000,122731000000,20505000000,670000000,13646000000,777000000,3249000000,-3250000000,5834000000,19000000,24540000000,2.48
13.26,116110000000,5984000000,13427000000,122266000000,16458000000,646000000,13991000000,388000000,8072000000,-10853000000,7379000000,2947000000,22710000000,2.27
9.63,111705000000,5395000000,12941000000,118220000000,15457000000,633000000,13045000000,329000000,8051000000,-9684000000,6409000000,1779000000,22179000000,2.17
23.69,117536000000,3794000000,12544000000,125914000000,15463000000,576000000,14194000000,-788000000,5387000000,-1669000000,6086000000,2874000000,12516000000,1.95
17.91,120772000000,3103000000,11525000000,131702000000,13893000000,583000000,11002000000,808000000,6497000000,-5371000000,5350000000,2231000000,19335000000,2.03
8.72,122951000000,2965000000,10632000000,130044000000,13407000000,479000000,12339000000,251000000,3749000000,-4462000000,7073000000,2220000000,18673000000,1.82
10.7,125916000000,2660000000,9673000000,132104000000,10752000000,592000000,10975000000,-181000000,3748000000,51000000,6184000000,2091000000,17504000000,1.46
14.49,125389000000,2755000000,9658000000,129483000000,11649000000,563000000,12358000000,-799000000,6247000000,-6036000000,6054000000,2436000000,10680000000,1.4
10.83,123519000000,2684000000,8826000000,131971000000,10678000000,531000000,10406000000,561000000,3017000000,-1776000000,5398000000,2008000000,13818000000,1.51
12.95,122463000000,2649000000,7581000000,129789000000,12405000000,509000000,10412000000,113000000,5516000000,-7257000000,6387000000,-591000000,16108000000,1.38
14.15,120406000000,2403000000,6763000000,127455000000,8809000000,490000000,10170000000,-12000000,6515000000,-1363000000,5744000000,1677000000,13520000000,1.37
0.7,121024000000,2274000000,6055000000,124407000000,8420000000,466000000,12423000000,-1654000000,3516000000,-4200000000,5720000000,1965000000,8900000000,1.14
18.37,120743000000,2034000000,5539000000,131941000000,8824000000,452000000,9905000000,956000000,6497000000,-2953000000,5247000000,1397000000,13657000000,1.1
5.02,121822000000,1862000000,5211000000,129579000000,10379000000,1300000000,9742000000,572000000,3998000000,-2670000000,6031000000,1807000000,11418000000,1.14
11.86,123049000000,2818000000,5223000000,135088000000,7424000000,90000000,9269000000,75000000,3677000000,3844000000,5543000000,1217000000,12151000000,1.13
11.0,129921000000,3961000000,4820000000,146741000000,-6302000000,123000000,11064000000,-1205000000,15912000000,-331000000,5671000000,15471000000,7875000000,0.95
16.55,131587000000,5343000000,4229000000,143814000000,6576000000,184000000,8278000000,1023000000,9220000000,-6904000000,4978000000,1408000000,12440000000,0.96
38.93,125318000000,6023000000,3549000000,139004000000,5330000000,1665000000,22227000000,199000000,10121000000,-7369000000,5711000000,-111000000,11005000000,0.84
4.66,119305000000,7381000000,17381000000,133399000000,4801000000,118000000,3075000000,16000000,7786000000,-6191000000,5081000000,1608000000,10660000000,0.98
6.2,114313000000,8912000000,15980000000,131667000000,5200000000,109000000,5378000000,-1132000000,25664000000,-14751000000,4950000000,1755000000,6293000000,0.73
11.27,123004000000,10486000000,14340000000,147392000000,4690000000,176000000,3581000000,867000000,14536000000,-18470000000,4278000000,1160000000,11549000000,0.84
18.82,106730000000,10431000000,13640000000,123646000000,3080000000,1186000000,18676000000,-192000000,12904000000,-10073000000,5299000000,2372000000,-8796000000,0.76
-2.73,98382000000,11315000000,14122000000,116842000000,3756000000,-170000000,3801000000,-241000000,5498000000,-5483000000,4546000000,1280000000,17939000000,0.69
9.44,95455000000,11514000000,13700000000,114129000000,4998000000,20000000,6268000000,-1104000000,3750000000,-3328000000,4998000000,837000000,9211000000,0.62
14.34,93924000000,11438000000,13280000000,110793000000,4620000000,421000000,4035000000,937000000,10748000000,-5066000000,4417000000,611000000,15022000000,0.78
6.57,90931000000,12053000000,13544000000,108579000000,14712000000,736000000,7468000000,429000000,7484000000,-5067000000,5233000000,1439000000,14712000000,0.67
20.45,88024000000,12019000000,13274000000,107457000000,4985000000,31000000,7161000000,430000000,4224000000,-5481000000,4800000000,1532000000,16817000000,0.6
5.14,83823000000,12665000000,12423000000,102914000000,5863000000,22000000,10136000000,-1070000000,10048000000,-4716000000,5412000000,1987000000,6413000000,0.61
11.23,82891000000,13943000000,11781000000,103136000000,4540000000,672000000,8273000000,483000000,5248000000,-7737000000,4879000000,1356000000,14610000000,0.75
-8.65,77040000000,14597000000,11594000000,100811000000,15787000000,533000000,7595000000,199000000,2000000000,-8910000000,6055000000,1965000000,15787000000,0.54
8.02,76853000000,14792000000,9953000000,103199000000,5660000000,22000000,5978000000,324000000,2000000000,-4284000000,4745000000,1297000000,10099000000,0.55
14.83,73885000000,14607000000,9790000000,98551000000,6558000000,20000000,8322000000,-1029000000,2300000000,-1025000000,5518000000,1320000000,4413000000,0.68
15.1,76649000000,11995000000,9587000000,93083000000,5244000000,205000000,5145000000,667000000,3300000000,-4614000000,4314000000,1164000000,8205000000,0.78
-11.96,73218000000,10844000000,10000000000,88786000000,14294000000,388000000,5602000000,-187000000,2999000000,-5839000000,5438000000,1180000000,5903000000,0.62
5.97,69243000000,11193000000,9721000000,155299000000,6055000000,6000000,4787000000,483000000,2246000000,-7660000000,5450000000,1548000000,9666000000,0.66
1.93,62295000000,10707000000,8397000000,141674000000,6377000000,9000000,5692000000,33000000,2241000000,-2593000000,5465000000,1393000000,4780000000,0.72
-5.47,61608000000,10038000000,8423000000,138613000000,4466000000,177000000,4168000000,473000000,2236000000,-7719000000,4072000000,1068000000,8484000000,0.76
8.48,56102000000,9776000000,8208000000,129759000000,7703000000,353000000,4163000000,-263000000,1231000000,-4662000000,4917000000,851000000,7677000000,0.53
4.38,53141000000,9068000000,8525000000,122182000000,5108000000,10000000,3952000000,50000000,1231000000,-12241000000,4564000000,1255000000,9594000000,0.67
2.93,41126000000,7550000000,8386000000,100412000000,6624000000,4000000,5638000000,-891000000,1231000000,-5568000000,4882000000,1615000000,5862000000,0.6
0.38,44522000000,8576000000,8201000000,110501000000,5738000000,70000000,3777000000,920000000,1231000000,-2315000000,4063000000,1568000000,8493000000,0.78
19.88,43162000000,10865000000,8072000000,107332000000,13659000000,183000000,3708000000,303000000,0,-950000000,5095000000,445000000,5942000000,0.68
9.74,43129000000,10748000000,8001000000,104027000000,5232000000,5000000,3897000000,170000000,0,-7139000000,4553000000,793000000,8672000000,0.69
12.57,37229000000,10022000000,7662000000,51274000000,6634000000,5000000,4833000000,-380000000,0,-1570000000,4770000000,1863000000,4186000000,0.61
12.98,36012000000,9211000000,7384000000,53384000000,5410000000,5000000,3139000000,468000000,1000000000,-4957000000,3744000000,1820000000,8194000000,0.77
9.82,31283000000,7754000000,7445000000,45068000000,12869000000,5000000,3170000000,260000000,1000000000,-4119000000,4589000000,1506000000,5604000000,0.62
6.95,31511000000,7797000000,7113000000,45068000000,4006000000,5000000,2755000000,-77000000,2249000000,-5904000000,4355000000,1335000000,7393000000,0.51
6.95,26677000000,6976000000,6808000000,45068000000,6662000000,5000000,3628000000,-558000000,2249000000,-92000000,4743000000,2221000000,4969000000,0.45
6.95,27905000000,6006000000,6537000000,45068000000,3574000000,5000000,2842000000,419000000,2250000000,-1199000000,3531000000,1191000000,6107000000,0.45
