Surprise(%),cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,intangibleAssetsExcludingGoodwill,otherCurrentAssets,commonStock,costofGoodsAndServicesSold,otherNonOperatingIncome,changeInOperatingLiabilities,depreciationDepletionAndAmortization,changeInReceivables,changeInInventory,cashflowFromInvestment,cashflowFromFinancing,EPS Estimate,Shift_Reported_EPS
6.03,8563000000,34800000000,952000000,4026000000,25000000,345000000,189000000,1084000000,433000000,1767000000,803000000,-3184000000,-10320000000,0.64,0.81
9.48,7587000000,31438000000,986000000,4062000000,2000000,210000000,75000000,301000000,410000000,2366000000,577000000,-5693000000,-9345000000,0.56,0.68
11.32,7280000000,25984000000,1112000000,3080000000,25000000,118000000,261000000,587000000,387000000,1690000000,503000000,-6109000000,-3629000000,4.64,0.61
19.21,5519000000,18281000000,1251000000,1289000000,2000000,208000000,-66000000,433000000,372000000,1243000000,456000000,-3170000000,-4525000000,3.37,5.16
29.41,5783000000,16023000000,1395000000,1389000000,2000000,343000000,59000000,909000000,365000000,2987000000,-295000000,-446000000,-5099000000,2.09,4.02
18.57,5079000000,15320000000,1541000000,872000000,2000000,105000000,-15000000,116000000,384000000,252000000,-566000000,-841000000,-380000000,0.92,2.7
8.75,3389000000,13296000000,1676000000,791000000,2000000,2218000000,-19000000,-43000000,426000000,-1080000000,706000000,-3000000,-1656000000,0.81,1.09
-16.47,2800000000,13143000000,1850000000,718000000,2000000,354000000,-11000000,-875000000,406000000,-410000000,563000000,3148000000,-3753000000,0.69,0.88
-59.38,3013000000,17037000000,2036000000,1175000000,2000000,570000000,-5000000,294000000,378000000,-120000000,725000000,1618000000,-3762000000,1.26,0.58
5.15,3887000000,3887000000,2211000000,636000000,3000000,2857000000,-13000000,325000000,334000000,788000000,560000000,2612000000,-2446000000,1.29,0.51
7.99,1990000000,21208000000,2339000000,366000000,3000000,2644000000,-53000000,33000000,309000000,692000000,374000000,-1586000000,-745000000,1.22,1.36
5.76,1288000000,19298000000,2454000000,321000000,3000000,2472000000,22000000,384000000,298000000,366000000,118000000,-4439000000,-1420000000,1.11,1.32
2.51,5628000000,5628000000,2478000000,129000000,3000000,2292000000,4000000,260000000,286000000,562000000,123000000,-2533000000,4501000000,1.01,1.17
11.46,978000000,978000000,2613000000,132000000,1000000,2032000000,135000000,83000000,281000000,595000000,159000000,-1272000000,-471000000,0.82,1.04
10.33,847000000,11561000000,2737000000,97000000,3000000,1846000000,9000000,163000000,288000000,-117000000,334000000,-3129000000,-342000000,0.7,0.92
13.1,2251000000,10139000000,2861000000,213000000,1000000,1766000000,-4000000,279000000,519000000,462000000,93000000,-2001000000,-301000000,0.64,0.78
10.79,3274000000,10981000000,2854000000,215000000,1000000,1591000000,-1000000,3000000,284000000,-44000000,-54000000,-13490000000,-297000000,0.49,0.73
6.75,15494000000,16354000000,80000000,195000000,1000000,1076000000,-1000000,81000000,7000000,249000000,151000000,-1055000000,4744000000,0.42,0.55
13.24,10896000000,10897000000,49000000,157000000,1000000,1090000000,-2000000,234000000,362000000,201000000,-66000000,-151000000,-183000000,0.42,0.45
13.07,9765000000,9769000000,43000000,149000000,1000000,1098000000,0,112000000,6000000,-105000000,-153000000,1256000000,-236000000,0.39,0.47
8.29,7105000000,8475000000,49000000,110000000,1000000,1038000000,1000000,128000000,6000000,319000000,-225000000,3545000000,-148000000,0.29,0.45
8.69,2772000000,7802000000,54000000,110000000,1000000,924000000,0,-252000000,7000000,-182000000,-153000000,1495000000,-225000000,0.2,0.31
6.48,782000000,7422000000,45000000,108000000,1000000,998000000,2000000,-160000000,238000000,-794000000,156000000,40000000,-877000000,0.19,0.22
-1.32,721000000,7591000000,49000000,312000000,1000000,1260000000,1000000,103000000,7000000,557000000,325000000,219000000,-703000000,0.47,0.2
9.8,718000000,7943000000,51000000,220000000,1000000,1148000000,5000000,327000000,6000000,442000000,293000000,-805000000,-155000000,0.44,0.46
28.67,765000000,7300000000,55000000,273000000,1000000,1139000000,6000000,-59000000,11000000,-56000000,2000000,-3551000000,-1131000000,0.4,0.49
34.37,4002000000,7108000000,52000000,319000000,1000000,1110000000,0,559000000,157000000,98000000,-61000000,-24000000,-134000000,0.29,0.51
